key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
36,"set of noble barding",0,"sets of noble barding",0,0,1,0,0,"Noble Barding",65570,65570,65570,"None","ui/icon/049000/049109.tex","ui/icon/049000/049110.tex","ui/icon/049000/049111.tex",57
37,"set of Orthodox barding",0,"sets of Orthodox barding",0,0,1,0,0,"Orthodox Barding",131106,131106,131106,"None","ui/icon/049000/049112.tex","ui/icon/049000/049113.tex","ui/icon/049000/049114.tex",58
38,"set of highland barding",0,"sets of highland barding",0,0,1,0,0,"Highland Barding",65571,65571,65571,"None","ui/icon/049000/049115.tex","ui/icon/049000/049116.tex","ui/icon/049000/049117.tex",59
39,"set of wild rose barding",0,"sets of wild rose barding",0,0,1,0,0,"Wild Rose Barding",65573,65573,65573,"None","ui/icon/049000/049118.tex","ui/icon/049000/049119.tex","ui/icon/049000/049120.tex",43
40,"set of round table barding",0,"sets of round table barding",0,0,1,0,0,"Round Table Barding",65574,65574,65574,"None","ui/icon/049000/049121.tex","ui/icon/049000/049122.tex","ui/icon/049000/049123.tex",130
41,"set of Sephirotic barding",0,"sets of Sephirotic barding",0,0,1,0,0,"Sephirotic Barding",65572,65572,65572,"None","ui/icon/049000/049124.tex","ui/icon/049000/049126.tex","ui/icon/049000/049125.tex",131
42,"set of egg hunter barding",0,"sets of egg hunter barding",0,0,1,0,0,"Egg Hunter Barding",65575,65575,65575,"None","ui/icon/049000/049127.tex","ui/icon/049000/049129.tex","ui/icon/049000/049128.tex",105
43,"set of Far Eastern barding",0,"sets of Far Eastern barding",0,0,1,0,0,"Far Eastern Barding",65577,65577,65577,"None","ui/icon/049000/049130.tex","ui/icon/049000/049132.tex","ui/icon/049000/049131.tex",60
44,"set of race barding",0,"sets of race barding",0,0,1,0,0,"Race Barding",65579,65579,65579,"None","ui/icon/049000/049133.tex","ui/icon/049000/049135.tex","ui/icon/049000/049134.tex",61
45,"set of Horde barding",0,"sets of Horde barding",0,0,1,0,0,"Horde Barding",65578,65578,65578,"None","ui/icon/049000/049136.tex","ui/icon/049000/049138.tex","ui/icon/049000/049137.tex",132
46,"set of butlery barding",0,"sets of butlery barding",0,0,1,0,0,"Butlery Barding",65580,65580,65580,"None","ui/icon/049000/049139.tex","ui/icon/049000/049141.tex","ui/icon/049000/049140.tex",62
47,"set of Sophic barding",0,"sets of Sophic barding",0,0,1,0,0,"Sophic Barding",65576,65576,65576,"None","ui/icon/049000/049142.tex","ui/icon/049000/049144.tex","ui/icon/049000/049143.tex",133
48,"set of abigail barding",0,"sets of abigail barding",0,0,1,0,0,"Abigail Barding",65581,65581,65581,"None","ui/icon/049000/049145.tex","ui/icon/049000/049147.tex","ui/icon/049000/049146.tex",63
49,"set of Mandervillian barding",0,"sets of Mandervillian barding",0,0,1,0,0,"Mandervillian Barding",131117,131117,131117,"None","ui/icon/049000/049148.tex","ui/icon/049000/049150.tex","ui/icon/049000/049149.tex",64
50,"set of angelic barding",0,"sets of angelic barding",0,0,1,0,0,"Angelic Barding",65583,65583,65583,"None","ui/icon/049000/049151.tex","ui/icon/049000/049153.tex","ui/icon/049000/049152.tex",65
51,"set of demonic barding",0,"sets of demonic barding",0,0,1,0,0,"Demonic Barding",65584,65584,65584,"None","ui/icon/049000/049154.tex","ui/icon/049000/049156.tex","ui/icon/049000/049155.tex",66
52,"set of Zurvanite barding",0,"sets of Zurvanite barding",0,0,1,0,0,"Zurvanite Barding",65582,65582,65582,"None","ui/icon/049000/049157.tex","ui/icon/049000/049159.tex","ui/icon/049000/049158.tex",134
53,"set of reveler's barding",0,"sets of reveler's barding",0,0,1,0,0,"Reveler's Barding",65585,65585,65585,"None","ui/icon/049000/049160.tex","ui/icon/049000/049162.tex","ui/icon/049000/049161.tex",135
54,"set of Ala Mhigan barding",0,"sets of Ala Mhigan barding",0,0,1,0,0,"Ala Mhigan Barding",65586,65586,65586,"None","ui/icon/049000/049163.tex","ui/icon/049000/049165.tex","ui/icon/049000/049164.tex",67
55,"set of blissful barding",0,"sets of blissful barding",0,0,1,0,0,"Blissful Barding",65587,65587,65587,"None","ui/icon/049000/049166.tex","ui/icon/049000/049168.tex","ui/icon/049000/049167.tex",136
56,"set of Hingan barding",0,"sets of Hingan barding",0,0,1,0,0,"Hingan Barding",65588,65588,65588,"None","ui/icon/049000/049169.tex","ui/icon/049000/049171.tex","ui/icon/049000/049170.tex",68
57,"set of Oriental barding",0,"sets of Oriental barding",0,0,1,0,0,"Oriental Barding",131124,131124,131124,"None","ui/icon/049000/049172.tex","ui/icon/049000/049174.tex","ui/icon/049000/049173.tex",69
58,"set of Nezha barding",0,"sets of Nezha barding",0,0,1,0,0,"Nezha Barding",65589,65589,65589,"None","ui/icon/049000/049175.tex","ui/icon/049000/049177.tex","ui/icon/049000/049176.tex",70
59,"set of Shinryu barding",0,"sets of Shinryu barding",0,0,1,0,0,"Shinryu Barding",65590,65590,65590,"None","ui/icon/049000/049178.tex","ui/icon/049000/049180.tex","ui/icon/049000/049179.tex",137
60,"set of Ixion barding",0,"sets of Ixion barding",0,0,1,0,0,"Ixion Barding",65591,65591,65591,"None","ui/icon/049000/049181.tex","ui/icon/049000/049183.tex","ui/icon/049000/049182.tex",173
61,"set of red mage barding",0,"sets of red mage barding",0,0,1,0,0,"Red Mage Barding",65592,65592,65592,"None","ui/icon/049000/049184.tex","ui/icon/049000/049186.tex","ui/icon/049000/049185.tex",22
62,"set of Byakko barding",0,"sets of Byakko barding",0,0,1,0,0,"Byakko Barding",65593,65593,65593,"None","ui/icon/049000/049187.tex","ui/icon/049000/049189.tex","ui/icon/049000/049188.tex",138
63,"chocobo raincoat",0,"chocobo raincoats",0,0,1,0,0,"Chocobo Raincoat",65594,65594,65594,"None","ui/icon/049000/049190.tex","ui/icon/049000/049192.tex","ui/icon/049000/049191.tex",71
64,"set of lunar barding",0,"sets of lunar barding",0,0,1,0,0,"Lunar Barding",65595,65595,65595,"None","ui/icon/049000/049193.tex","ui/icon/049000/049195.tex","ui/icon/049000/049194.tex",139
65,"set of Suzaku barding",0,"sets of Suzaku barding",0,0,1,0,0,"Suzaku Barding",65596,65596,65596,"None","ui/icon/049000/049196.tex","ui/icon/049000/049198.tex","ui/icon/049000/049197.tex",140
66,"set of samurai barding",0,"sets of samurai barding",0,0,1,0,0,"Samurai Barding",65597,65597,65597,"None","ui/icon/049000/049199.tex","ui/icon/049000/049201.tex","ui/icon/049000/049200.tex",23
67,"set of Seiryu barding",0,"sets of Seiryu barding",0,0,1,0,0,"Seiryu Barding",65598,65598,65598,"None","ui/icon/049000/049202.tex","ui/icon/049000/049204.tex","ui/icon/049000/049203.tex",141
68,"set of Yojimbo barding",0,"sets of Yojimbo barding",0,0,1,0,0,"Yojimbo Barding",65599,65599,65599,"None","ui/icon/049000/049205.tex","ui/icon/049000/049207.tex","ui/icon/049000/049206.tex",174
69,"set of Titania barding",0,"sets of Titania barding",0,0,1,0,0,"Titania Barding",65600,65600,65600,"None","ui/icon/049000/049208.tex","ui/icon/049000/049210.tex","ui/icon/049000/049209.tex",142
70,"set of Innocence barding",0,"sets of Innocence barding",0,0,1,0,0,"Innocence Barding",65601,65601,65601,"None","ui/icon/049000/049211.tex","ui/icon/049000/049213.tex","ui/icon/049000/049212.tex",143
71,"set of dancer barding",0,"sets of dancer barding",0,0,1,0,0,"Dancer Barding",65602,65602,65602,"None","ui/icon/049000/049214.tex","ui/icon/049000/049216.tex","ui/icon/049000/049215.tex",24
72,"set of deepshadow barding",0,"sets of deepshadow barding",0,0,1,0,0,"Deepshadow Barding",65603,65603,65603,"None","ui/icon/049000/049217.tex","ui/icon/049000/049219.tex","ui/icon/049000/049218.tex",72
73,"set of Hades barding",0,"sets of Hades barding",0,0,1,0,0,"Hades Barding",65604,65604,65604,"None","ui/icon/049000/049220.tex","ui/icon/049000/049222.tex","ui/icon/049000/049221.tex",144
74,"set of saintly barding",0,"sets of saintly barding",0,0,1,0,0,"Saintly Barding",65605,65605,65605,"None","ui/icon/049000/049223.tex","ui/icon/049000/049225.tex","ui/icon/049000/049224.tex",106
75,"set of Ruby barding",0,"sets of Ruby barding",0,0,1,0,0,"Ruby Barding",65606,65606,65606,"None","ui/icon/049000/049226.tex","ui/icon/049000/049228.tex","ui/icon/049000/049227.tex",145
76,"set of machinist barding",0,"sets of machinist barding",0,0,1,0,0,"Machinist Barding",65607,65607,65607,"None","ui/icon/049000/049229.tex","ui/icon/049000/049231.tex","ui/icon/049000/049230.tex",25
77,"set of True Barding of Light",0,"sets of True Barding of Light",0,0,1,0,0,"True Barding of Light",65608,65608,65608,"None","ui/icon/049000/049232.tex","ui/icon/049000/049234.tex","ui/icon/049000/049233.tex",146
78,"",0,"",0,0,0,0,0,"",0,0,0,"None",,,,0
79,"",0,"",0,0,0,0,0,"",0,0,0,"None",,,,0
