key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
10,"Ash Macuahuitl",1,"Ramhorn Harpoon",1,"",1,"Mint Lassi",3,"Jack-o'-lantern",3,"",1,"Engraved Leather Grimoire",1,"",1,"",1,"Bronze Barbut",1,"Bronze Scutum",1,"",1,"Hard Leather Merchant's Pouch",1,"Leather Jacket",1,"Hard Leather Wristguards",1,"Bone Armillae",1,"Ramhorn Claws",1,"Copper Scepter",1,"Amateur's Hempen Coif",1,"Amateur's Breeches",1,"Amateur's Dalmatica",1,"Bronze Mortar",1,"Bronze File",1,"Amateur's Cross-pein Hammer",1,"Obsidian",10,"",1,"",1,"Cloves",10,"",1,"",1,"Maiden Carp",1,"",1,"",1
11,"Ragstone Grinding Wheel",1,"",1,"",1,"Grilled Dodo",3,"",1,"",1,"Budding Maple Wand",1,"",1,"",1,"Amateur's Skillet",1,"Bronze Plate Belt",1,"",1,"Leather Survival Belt",1,"Amateur's Headgear",1,"Hard Leather Shoes",1,"Copper Ear Cuffs",1,"",1,"",1,"Straw Hat",1,"Hempen Bracers",1,"Hempen Dress Gloves",1,"Amateur's Doming Hammer",1,"Bronze Awl",1,"Amateur's Head Knife",1,"Copper Sand",10,"",1,"",1,"Tree Toad",10,"Rye",10,"Sunset Wheat",10,"",1,"",1,"",1
12,"Ash Spinning Wheel",1,"Amateur's Fishing Rod",1,"",1,"Bubble Chocolate",3,"Pearl Chocolate",3,"",1,"Potion",3,"",1,"",1,"Bronze Celata",1,"Bronze Cuirass",1,"",1,"Leather Jackboots",1,"Hard Leather Satchel Belt",1,"Hard Leather Harness",1,"Bronze Scepter",1,"Amateur's Needle",1,"",1,"Stablemaid's Hat",1,"Hempen Robe",1,"Hempen Doublet Vest of Gathering",1,"Bronze Culinary Knife",1,"Bronze Sledgehammer",1,"Amateur's Hatchet",1,"Rock Salt",10,"",1,"",1,"Lavender",10,"Grass Viper",10,"Straw",10,"",1,"",1,"",1
13,"Feathered Harpoon",1,"Ash Radical",1,"",1,"Mole Loaf",3,"Parsnip Salad",3,"",1,"Ash Picatrix",1,"",1,"",1,"Bronze Sabatons",1,"",1,"",1,"Leather Targe",1,"Hard Leather Hunting Belt",1,"Hard Leather Armguards",1,"Decorated Bone Staff",1,"",1,"",1,"Cotton Turban",1,"Stablehand's Hat",1,"Striped Cotton Slops",1,"Bronze Knuckles",1,"Bronze Spatha",1,"",1,"Ragstone",10,"",1,"",1,"Carnation",10,"Coerthan Carrot",10,"La Noscean Lettuce",10,"Mudskipper",1,"",1,"",1
14,"Ash Pattens",1,"Ash Mask",1,"",1,"Rabbit Pie",3,"",1,"",1,"",1,"",1,"",1,"Bronze Gauntlets",1,"",1,"",1,"Hard Leather Subligar",1,"Hard Leather Caligae",1,"Hard Leather Lightmitts",1,"Brass Spectacles",1,"Brass Cudgel",1,"",1,"Cotton Shirt",1,"Cotton Sarouel",1,"Cotton Longsash",1,"Spiked Bronze Labrys",1,"Brass Head Knife",1,"",1,"Iron Ore",10,"Iron Sand",10,"",1,"Gridanian Chestnut",10,"Cieldalaes Spinach",10,"Black Pepper",10,"",1,"",1,"",1
15,"Ash Pattens",1,"Ash Shortbow",1,"Square Ash Shield",1,"Grilled Carp",3,"Salt Cod",3,"",1,"Ether",3,"",1,"",1,"Bronze Buckler",1,"Brass Alembic",1,"Iron Skillet",1,"Fingerless Hard Leather Gloves",1,"Hard Leather Choker",1,"Hard Leather Boots",1,"Fang Earrings",1,"Brass Wristlets",1,"Brass Gorget",1,"Cotton Halfgloves",1,"Cotton Scarf",1,"Cotton Shepherd's Slops",1,"Birdsbeak Hammer",1,"Bronze Raising Hammer",1,"",1,"Cinnabar",10,"",1,"",1,"Alpine Parsnip",10,"Highland Parsley",10,"Ruby Tomato",10,"Rainbow Trout",1,"River Crab",1,"",1
16,"Elm Fishing Rod",1,"",1,"",1,"Meat Miq'abob",3,"Dodo Omelette",3,"",1,"Hard Leather Grimoire",1,"Ash Wand",1,"Potion of Intelligence",3,"Decorated Bronze Mitt Gauntlets",1,"Decorated Bronze Barbut",1,"",1,"Hard Leather Ringbands",1,"Hard Leather Shepherd's Belt",1,"Hard Leather Belt",1,"Brass Wristlets of Crafting",1,"Bat Fang Needle",1,"",1,"Padded Hempen Trousers",1,"Cotton Shepherd's Tunic",1,"Rope Belt",1,"Plumed Bronze Pickaxe",1,"Brass Bastard Sword",1,"Brass Knuckles",1,"Raw Malachite",10,"",1,"",1,"Faerie Apple",10,"Galago Mint",10,"Paprika",10,"Ala Mhigan Fighting Fish",1,"",1,"",1
17,"Iron Spear",1,"",1,"",1,"Lentils and Chestnuts",3,"Roasted Nopales",3,"Stone Soup",3,"Potion of Dexterity",3,"",1,"",1,"Iron Hoplon",1,"",1,"",1,"Hard Leather Skullcap",1,"Hard Leather Espadrilles",1,"Hard Leather Wristbands of Gathering",1,"Toothed Ramhorn Staff",1,"Fang Necklace",1,"Brass Earrings",1,"Cotton Trousers",1,"Cotton Dalmatica",1,"Cotton Dalmatica of Gathering",1,"Iron War Axe",1,"Iron Hatchet",1,"Iron Labrys",1,"Raw Fluorite",10,"",1,"",1,"Sun Lemon",10,"Lalafellin Lentil",10,"",1,"Acorn Snail",1,"",1,"",1
18,"Elm Cane",1,"",1,"",1,"Walnut Bread",3,"Apple Tart",3,"",1,"Potion of Vitality",3,"",1,"",1,"Initiate's Skillet",1,"Initiate's Alembic",1,"",1,"Goatskin Wristguards",1,"Goatskin Mitts",1,"Hard Leather Cesti",1,"Brass Circlet (Sunstone)",1,"Brass Circlet (Danburite)",1,"Brass Circlet (Fluorite)",1,"Cotton Kurta",1,"Initiate's Doublet Vest",1,"",1,"Iron Doming Hammer",1,"Iron Chaser Hammer",1,"Iron Cross-pein Hammer",1,"Raw Danburite",10,"",1,"",1,"Nopales",10,"Belladonna",10,"Popoto",10,"La Noscean Perch",1,"Navigator's Dagger",1,"",1
19,"Elm Longbow",1,"Initiate's Spinning Wheel",1,"Elm Crook",1,"Raw Oyster",3,"",1,"",1,"Potion of Strength",3,"",1,"",1,"Iron Plate Belt",1,"Iron Sallet",1,"Iron Sabatons",1,"Goatskin Leggings",1,"Goatskin Tool Belt",1,"Goatskin Pot Helm",1,"Brass Circlet (Sphene)",1,"Brass Circlet (Malachite)",1,"Brass Circlet (Lapis Lazuli)",1,"Cotton Acton",1,"Cotton Coif",1,"Cotton Coif of Gathering",1,"Initiate's Hatchet",1,"Iron Awl",1,"Initiate's Sledgehammer",1,"Alumen",10,"Sunrise Tellin",10,"",1,"Yew Log",10,"Gil Bun",10,"",1,"Moat Carp",1,"Angelfish",1,"",1
20,"Ash Mask (Lapis Lazuli)",1,"Iron Lance",1,"Initiate's Fishing Rod",1,"Chicken and Mushrooms",3,"Antelope Stew",3,"",1,"Engraved Hard Leather Grimoire",1,"Potion of Mind",3,"",1,"Iron Gauntlets",1,"Iron Celata",1,"Iron Cuirass",1,"Goatskin Ring",1,"Initiate's Gloves",1,"",1,"Decorated Copper Scepter",1,"Brass Ring",1,"Brass Ring of Crafting",1,"Initiate's Slops",1,"Padded Cotton Trousers",1,"Cotton Work Gloves",1,"Brass Viking Sword",1,"Initiate's Saw",1,"Iron Pickaxe",1,"Mudstone",10,"",1,"",1,"Yew Branch",10,"White Scorpion",10,"",1,"Bluebell Salmon",1,"",1,"",1
21,"Elm Velocity Bow",1,"Yew Radical",1,"",1,"Mashed Popotoes",3,"Grape Juice",3,"Antelope Steak",3,"Budding Ash Wand",1,"Weak Poisoning Potion",3,"Weak Blinding Potion",3,"Iron Vambraces",1,"Iron Lantern Shield",1,"",1,"Padded Leather Duckbills",1,"Padded Leather Duckbills of Gathering",1,"Initiate's Thighboots",1,"Coral Ring",1,"Brass Choker",1,"Brass Ear Cuffs",1,"Cotton Dress Gloves",1,"Cotton Sash",1,"",1,"Inferno Axe",1,"Iron Mortar",1,"Iron Scythe",1,"Earth Rock",10,"",1,"",1,"Gridanian Walnut",10,"Pixie Plums",10,"",1,"Mudcrab",1,"Tri-colored Carp",1,"",1
22,"Mudstone Grinding Wheel",1,"Iron Guisarme",1,"",1,"Dried Plums",3,"Spinach Saute",3,"Mustard Eggs",3,"Yew Picatrix",1,"Echo Drops",3,"Weak Silencing Potion",3,"Iron-plated Jackboots",1,"Iron Elmo",1,"",1,"Goatskin Armguards",1,"Initiate's Headgear",1,"Goatskin Brais",1,"Brass Needle",1,"Staghorn Staff",1,"",1,"Cotton Halfrobe",1,"Cotton Gaskins",1,"Cotton Dress Shoes",1,"Iron File",1,"Iron Pliers",1,"Iron Shortsword",1,"Silver Sand",10,"",1,"",1,"Button Mushroom",10,"Noble Grapes",10,"",1,"Blowfish",1,"Jade Eel",1,"",1
23,"Elm Spinning Wheel",1,"",1,"",1,"Shepherd's Pie",3,"Dark Pretzel",3,"Salmon Meuniere",3,"",1,"",1,"",1,"Iron Frypan",1,"Iron Scale Mail",1,"Iron Alembic",1,"Goatskin Eyepatch",1,"Goatskin Leg Guards",1,"Voyager's Belt",1,"Wind Brand",1,"",1,"",1,"Cotton Doublet Vest of Gathering",1,"Cotton Doublet Vest of Crafting",1,"Cotton Sugarloaf Hat",1,"Iron Sledgehammer",1,"Initiate's Awl",1,"Spiked Knuckles",1,"Ice Rock",10,"Fire Rock",10,"",1,"Ala Mhigan Mustard",10,"Matron's Mistletoe",10,"",1,"Pond Mussel",1,"Warmwater Trout",1,"",1
24,"Wrapped Elm Longbow",1,"Elm Pattens",1,"Yew Crook",1,"Chamomile Tea",3,"",1,"",1,"Goatskin Grimoire",1,"",1,"",1,"Reinforced Iron Sallet",1,"Iron Scutum",1,"Reinforced Iron Plate Belt",1,"Goatskin Satchel Belt",1,"Goatskin Belt",1,"Goatskin Breeches",1,"Initiate's Needle",1,"Horn Earrings",1,"Silver Spectacles",1,"Cotton Kecks",1,"Velveteen Chausses",1,"Velveteen Halfgloves",1,"Brass Hatchet",1,"Iron Bill",1,"Bas-relief Iron Saw",1,"Lightning Rock",10,"Wind Rock",10,"",1,"Walnut Log",10,"Pearl Ginger",10,"",1,"Glass Perch",1,"Four-eyed Fish",1,"Saber Sardine",1
25,"Yew Fishing Rod",1,"Initiate's Grinding Wheel",1,"",1,"Eel Pie",3,"",1,"",1,"Hi-Potion",3,"",1,"",1,"Heavy Iron Flanchard",1,"Heavy Iron Gauntlets",1,"Heavy Iron Armor",1,"Goatskin Espadrilles",1,"Fingerless Goatskin Gloves",1,"Fingerless Goatskin Gloves of Gathering",1,"Silver Magnifiers",1,"Toothed Staghorn Staff",1,"Ice Brand",1,"Velveteen Bandana",1,"Velveteen Sarouel",1,"Velveteen Sarouel of Gathering",1,"Initiate's Scythe",1,"Initiate's Culinary Knife",1,"Iron Spatha",1,"Water Rock",10,"",1,"",1,"Sticky Rice",10,"Millioncorn",10,"",1,"Ogre Barracuda",1,"Blue Octopus",1,"",1
26,"Viper-crested Round Shield",1,"Ash Composite Bow",1,"",1,"Ginger Cookie",3,"Pea Soup",3,"Aldgoat Steak",3,"",1,"",1,"",1,"Conical Alembic",1,"",1,"",1,"Goatskin Choker",1,"Goatskin Crakows",1,"",1,"Horn Necklace",1,"Silver Ring",1,"Silver Ring of Crafting",1,"Velveteen Turban",1,"Velveteen Shirt",1,"Tarred Velveteen Longsash",1,"Iron Ornamental Hammer",1,"Iron Raising Hammer",1,"Crowsbeak Hammer",1,"Bomb Ash",10,"",1,"",1,"Jade Peas",10,"",1,"",1,"Aegis Shrimp",1,"Monkfish",1,"Sea Bo",1
27,"Silver Battle Fork",1,"",1,"",1,"Cheese Risotto",3,"Boiled Bream",3,"Fried Egg",3,"Whispering Ash Wand",1,"",1,"",1,"Iron Kite Shield",1,"Bomb Frypan",1,"",1,"Goatskin Crakows of Gathering",1,"Goatskin Ringbands",1,"Goatskin Boots",1,"Sunstone Choker",1,"Danburite Choker",1,"Sunstone Bracelet",1,"Velveteen Rope Belt",1,"Velveteen Tights",1,"Velveteen Cowl",1,"Initiate's File",1,"Iron Dolabra",1,"Initiate's Pliers",1,"Silex",10,"",1,"",1,"Wizard Eggplant",10,"",1,"",1,"Climbing Perch",1,"Shadow Catfish",1,"Bianaq Bream",1
28,"Elm Macuahuitl",1,"",1,"",1,"Crumpet",3,"Orobon Stew",3,"",1,"Yew Wand",1,"",1,"",1,"Steel Tassets",1,"Steel Chainmail",1,"",1,"Toadskin Cesti",1,"Toadskin Hunting Belt",1,"",1,"Fluorite Choker",1,"Lapis Lazuli Choker",1,"Fluorite Bracelet",1,"Velveteen Coatee of Gathering",1,"Velveteen Wedge Cap of Gathering",1,"Velveteen Half Apron",1,"Steel Broadsword",1,"Iron Chocobotail Saw",1,"Spiked Steel Labrys",1,"Wyvern Obsidian",10,"",1,"",1,"Midland Cabbage",10,"",1,"",1,"",1,"",1,"",1
29,"Staghorn Fishing Rod",1,"Steel Halberd",1,"Walnut Cane",1,"Cornmeal",1,"",1,"",1,"Engraved Goatskin Grimoire",1,"",1,"",1,"Steel Sallet",1,"Steel Alembic",1,"Steel Skillet",1,"Goatskin Wristbands",1,"Goatskin Targe",1,"Toadskin Brais",1,"Sphene Choker",1,"Sphene Bracelet",1,"Sphene Ring",1,"Velveteen Coatee of Crafting",1,"Velveteen Shortgloves",1,"Velveteen Beret",1,"Iron Head Knife",1,"Steel Claws",1,"Plumed Iron Hatchet",1,"Brimstone",10,"",1,"",1,"Chocobo Feather",10,"",1,"",1,"Lamprey",1,"Plaguefish",1,"",1
30,"Steel Spear",1,"Plumed Yew Crook",1,"",1,"Baked Sole",3,"",1,"",1,"Spine Drops",3,"",1,"",1,"Steel Gauntlets",1,"Steel Sabatons",1,"Steel Celata",1,"Toadskin Jerkin",1,"Toadskin Armguards",1,"Toadskin Jacket",1,"Malachite Choker",1,"Malachite Bracelet",1,"Malachite Ring",1,"Velveteen Bottoms",1,"Velveteen Work Gloves",1,"Velveteen Gown",1,"Steel Chaser Hammer",1,"Steel Pickaxe",1,"Steel Sledgehammer",1,"Siltstone",10,"",1,"",1,"Moor Leech",10,"",1,"",1,"Spotted Pleco",1,"",1,"",1
31,"Ash Cavalry Bow",1,"",1,"",1,"Cornbread",3,"Alligator Salad",3,"",1,"Hi-Potion of Mind",3,"Hi-Potion of Dexterity",3,"",1,"Steel Vambraces",1,"Bull Hoplon",1,"Steel Elmo",1,"Toadskin Voyager's Belt",1,"Toadskin Leg Guards",1,"Toadskin Culottes",1,"Silver Choker",1,"Horn Armillae",1,"Horn Ring",1,"Velveteen Dress Gloves",1,"Velveteen Sash",1,"Velveteen Gaskins",1,"Steel Falchion",1,"Steel Awl",1,"Steel Claw Hammer",1,"Raw Garnet",10,"",1,"",1,"Oak Branch",10,"Flax",10,"",1,"",1,"",1,"",1
32,"Walnut Fishing Rod",1,"",1,"",1,"Forest Miq'abob",3,"Smoked Raptor",3,"",1,"Hi-Potion of Vitality",3,"Hi-Potion of Intelligence",3,"",1,"Steel Scale Fingers",1,"Steel Scale Greaves",1,"Steel Scale Mail",1,"Toadskin Ring",1,"Toadskin Breeches",1,"Toadskin Belt",1,"Worm Fang Needle",1,"",1,"",1,"Velveteen Sugarloaf Hat",1,"Velveteen Doublet Vest of Crafting",1,"",1,"Steel Mortar",1,"Steel Culinary Knife",1,"Steel Bardiche",1,"Raw Heliodor",10,"",1,"",1,"Aloe",10,"Midland Basil",10,"",1,"Ropefish",1,"Grip Killifish",1,"",1
33,"Walnut Spinning Wheel",1,"Walnut Pattens",1,"",1,"Blood Currant Tart",3,"Tuna Miq'abob",3,"",1,"Hi-Potion of Strength",3,"",1,"",1,"Decorated Buckler",1,"White Skillet",1,"",1,"Skull Eyepatch",1,"Boarskin Satchel Belt",1,"Fingerless Boarskin Gloves",1,"Silver Circlet (Aquamarine)",1,"Silver Circlet (Amethyst)",1,"Silver Circlet (Garnet)",1,"Velveteen Doublet Vest of Gathering",1,"Linen Chausses",1,"Linen Halfgloves",1,"Steel Scythe",1,"Wrapped Steel Sledgehammer",1,"Steel Dolabra",1,"Raw Goshenite",10,"Raw Peridot",10,"Mythril Sand",10,"White Truffle",10,"Mandrake",10,"",1,"Bone Cleaner",1,"Root Skipper",1,"Monke Onke",1
34,"Siltstone Grinding Wheel",1,"Walnut Macuahuitl",1,"",1,"Acorn Cookie",3,"Scrambled Eggs",3,"",1,"Budding Yew Wand",1,"Book of Silver",1,"",1,"Silver Alembic",1,"Heavy Steel Gauntlets",1,"Reinforced Steel Plate Belt",1,"Boarskin Choker",1,"Fingerless Boarskin Gloves of Gathering",1,"",1,"Earth Brand",1,"Steel Goggles",1,"Crabshell Hora",1,"Linen Turban",1,"Linen Shirt",1,"Linen Sarouel",1,"Steel File",1,"Steel Doming Hammer",1,"Steel Crowsbeak Hammer",1,"Mythril Ore",10,"",1,"",1,"Wildfowl Feather",10,"Salt Leek",10,"",1,"Bonytongue",1,"Mitten Crab",1,"Haraldr Haddock",1
35,"Oak Radical",1,"Heavy Steel Lance",1,"",1,"Cawl Cennin",3,"",1,"",1,"Hi-Ether",3,"Poisoning Potion",3,"Paralyzing Potion",3,"Heavy Steel Flanchard",1,"Steel Mitt Gauntlets",1,"Steel Barbut",1,"Toadskin Duckbills",1,"Boarskin Crakows",1,"Boarskin Crakows of Gathering",1,"Toothed Goathorn Staff",1,"Wolf Earrings",1,"Fire Brand",1,"Linen Tights",1,"Linen Robe",1,"Linen Hat",1,"Steel Hatchet",1,"Steel Pliers",1,"Steel Bhuj",1,"Raw Aquamarine",10,"",1,"",1,"Tarantula",10,"Dragon Pepper",10,"Desert Saffron",10,"Sandfish",1,"",1,"",1
36,"Mythril Cavalry Bow",1,"Yarzonshell Harpoon",1,"",1,"Sauerkraut",3,"Cheese Souffle",3,"",1,"Blinding Potion",3,"Sleeping Potion",3,"Silencing Potion",3,"Steel Frypan",1,"",1,"",1,"Boarskin Ringbands",1,"Boarskin Wristbands",1,"Boarskin Wristbands of Gathering",1,"Wolf Necklace",1,"Mythril Ring",1,"Aquamarine Choker",1,"Angler's Hat",1,"Linen Cowl",1,"Linen Longsash",1,"Wrapped Steel Claw Hammer",1,"Wrapped Steel Awl",1,"",1,"Raw Tourmaline",10,"",1,"",1,"Iron Acorn",10,"Blood Currants",10,"",1,"Silverfish",1,"Clown Loach",1,"Sand Bream",1
37,"Pastoral Oak Cane",1,"Horn Fishing Rod",1,"",1,"Ratatouille",3,"",1,"",1,"Embossed Book of Silver",1,"",1,"",1,"Bladed Lantern Shield",1,"",1,"",1,"Boarskin Subligar",1,"Boarskin Pot Helm",1,"Boarskin Shepherd's Belt",1,"Aquamarine Choker",1,"Garnet Choker",1,"Peridot Choker",1,"Linen Wedge Cap of Crafting",1,"Linen Gaiters",1,"Linen Bottoms",1,"Steel Longsword",1,"",1,"",1,"Raw Spinel",10,"",1,"",1,"Mugwort",10,"",1,"",1,"Armored Pleco",1,"Desert Catfish",1,"Balloonfish",1
38,"Mythril Lance",1,"",1,"",1,"Mugwort Carp",3,"Knight's Bread",3,"",1,"Budding Oak Wand",1,"",1,"",1,"Horn Scale Fingers",1,"Mythril Celata",1,"Mythril Plate Belt",1,"Peisteskin Crakows",1,"Fingerless Peisteskin Gloves",1,"Boarskin Breeches",1,"Aquamarine Bracelet",1,"Goshenite Bracelet",1,"Pearl Bracelet",1,"Linen Wedge Cap of Gathering",1,"Linen Coatee of Crafting",1,"Linen Shortgloves",1,"Plumed Mythril Pickaxe",1,"Mythril Broadsword",1,"Mythril Hatchet",1,"Raw Zircon",10,"",1,"",1,"Maiden Artichoke",10,"",1,"",1,"Velodyna Carp",1,"Spotted Puffer",1,"Dustfish",1
39,"Oak Pattens",1,"",1,"",1,"Stuffed Artichoke",3,"Raptor Stew",3,"",1,"Wand of Tremors",1,"Wand of Frost",1,"Wand of Tides",1,"Mythril Gauntlets",1,"Mythril Cuirass",1,"Mythril Sabatons",1,"Boarskin Thighboots",1,"Peisteskin Harness",1,"Boarskin Ring",1,"Aquamarine Earrings",1,"Amethyst Earrings",1,"Garnet Ring",1,"Woolen Coif",1,"Woolen Turban",1,"Padded Linen Trousers",1,"Spiked Mythril Labrys",1,"Mythril Claws",1,"Mythril Head Knife",1,"Jade",10,"",1,"",1,"Nutmeg",10,"Thyme",10,"",1,"Storm Rider",1,"Trader Eel",1,"",1
