Index,0:？
15,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|士风}}<br>2：{{color|id=500|花车}}
16,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|强力射击}}<br>2：{{color|id=500|直线射击}}
17,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|烈毒咬箭}}<br>2：{{color|id=500|狂风蚀箭}}
18,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|热分裂弹}}<br>2：{{color|id=500|热独头弹}}<br>3：{{color|id=500|热狙击弹}}<br><br>{{color|id=506|※过热状态中，变为热冲击。}}
19,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br>{{color|id=504|魔回刺发动条件：}}{{color|id=500|白魔元}}与{{color|id=500|黑魔元}}均达到50<br><br>1：{{color|id=500|魔回刺}}<br>2：{{color|id=500|魔交击斩}}<br>3：{{color|id=500|魔连攻}}<br><br>{{color|id=506|※赤核爆或赤神圣成功时，变为焦热。}}
20,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|利刃斩}}<br>2：{{color|id=500|残暴弹}}<br>3：{{color|id=500|迅连斩}}
21,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br>{{color|id=504|烈牙发动条件：}}{{color|id=500|晶壤}}<br><br>1：{{color|id=500|烈牙}}<br>2：{{color|id=500|猛兽爪}}<br>3：{{color|id=500|凶禽爪}}
22,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|瀑泻}}<br>2：{{color|id=500|喷泉}}<br><br>{{color|id=506|※前冲步状态中，变为逆瀑泻。}}<br>{{color|id=506|※瀑泻成功时，且前冲步状态中，变为坠喷泉。}}<br>{{color|id=506|※跳舞模式中，变为蔷薇曲脚步。}}
23,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|先锋剑}}<br>2：{{color|id=500|公正剑}}<br>3：{{color|id=500|游荡剑}}
24,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|日影斩}}<br>2：{{color|id=500|大日食}}
25,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|利刃斩}}<br>2：{{color|id=500|残暴弹}}<br>3：{{color|id=500|迅连斩}}
26,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|死天枪}}<br>2：{{color|id=500|音速刺}}<br>3：{{color|id=500|山境酷刑}}
27,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|全蚀斩}}<br>2：{{color|id=500|日珥斩}}<br><br>{{color|id=506|※忠义之剑状态中，变为荣耀斩。}}
28,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|秘银暴风}}<br>2：{{color|id=500|钢铁旋风}}
29,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|释放}}<br>2：{{color|id=500|刚魂}}
30,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|四面脚}}<br>2：{{color|id=500|地烈劲}}
31,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|死天枪}}<br>2：{{color|id=500|音速刺}}<br>3：{{color|id=500|山境酷刑}}
32,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|血雨飞花}}<br>2：{{color|id=500|八卦无刃杀}}<br><br>{{color|id=506|※三印自在状态中，变为劫火灭却之术。}}
33,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|雪风}}<br>2：{{color|id=500|月光}}<br>3：{{color|id=500|花车}}
34,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|满月}}<br>2：{{color|id=500|樱花}}
35,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|恶魔切}}<br>2：{{color|id=500|恶魔杀}}
36,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|风车}}<br>2：{{color|id=500|落刃雨}}<br><br>{{color|id=506|※前冲步状态中，变为升风车。}}<br>{{color|id=506|※风车成功时，且前冲步状态中，变为落血雨。}}<br>{{color|id=506|※跳舞模式中，变为小鸟交叠跳。}}
37,连击用技能。<br>使用时会按下列顺序发动战技。<br>如果连击过程中未满足战技的发动条件，则回到第一个技能重新发动连击。<br><br>1：{{color|id=500|极风}}<br>2：{{color|id=500|豪风}}<br>3：{{color|id=500|夜月}}
