Index,0:？
85,学会{{color|id=500|伶俐}}特性后，{{color|id=500|幻扇量谱}}上会出现{{color|id=500|伶俐量谱}}，以显示伶俐量值的积累状况。<br>当自身与小队队员附加了{{color|id=500|标准舞步结束}}和{{color|id=500|技巧舞步结束}}的追加状态{{color|id=500|伶俐}}之后，发动的战技或魔法攻击命中时，会积累伶俐量值。积累的伶俐量值可以用来发动{{color|id=500|剑舞}}技能。
86,平衡量谱
87,赤魔法师有着独特的魔法体系，{{color|id=500|平衡量谱}}可以显示其魔力源泉的{{color|id=500|白魔元}}与{{color|id=500|黑魔元}}各自的量值。使用特定魔法可以积累魔元量值，不同魔法对两种魔元的积累效果会有所不同。当积累到一定程度后，{{color|id=500|回刺}}等特定技能将被替换为{{color|id=500|魔回刺}}等威力更大的技能。
88,另外，当白魔元与黑魔元差距过大时，平衡量谱上方的水晶会改变颜色，较少一方的魔元积累效率会降低。<br>因此积累魔元时一定要注意黑与白的平衡，这样才能更有效地提高攻击力。
89,晶壤量谱
90,开启{{color|id=500|王室亲卫}}技能后，画面上会出现显示该技能使用状态的量谱。<br>想要集中仇恨时，建议使用王室亲卫。
91,晶壤量谱
92,学会{{color|id=500|晶壤装填}}特性后，画面上会出现专用的{{color|id=500|晶壤量谱}}，以显示当前{{color|id=500|晶壤}}的具体量值。<br>当{{color|id=500|迅连斩}}和40级学会的{{color|id=500|恶魔杀}}连击成功时可以获得一档晶壤，发动{{color|id=500|爆发击}}或60级学会的{{color|id=500|烈牙}}技能时需要消耗一档晶壤。
93,学会{{color|id=500|不死鸟附体效果提高}}特性后，使用{{color|id=500|不死鸟附体}}技能便会出现{{color|id=500|亚灵神不死鸟}}。<br>在使用不死鸟附体时，{{color|id=500|同调量谱}}上会显示亚灵神不死鸟的剩余显现时间。
94,学会{{color|id=500|照破}}技能后，画面上会出现显示{{color|id=500|剑压}}积蓄状态的{{color|id=500|剑压量谱}}。<br>使用{{color|id=500|居合术、燕回返、默想}}可以获得剑压，使用{{color|id=500|照破}}可以消耗剑压。
95,
96,
97,
98,
99,
100,
