key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
8,"blacksmith",50,"Yellow Crafters' Scrip","Mythrite Katzbalger",1,False,200,160,110,762,13,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Patas",1,False,200,160,110,660,15,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite War Axe",1,False,200,160,110,762,13,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Pugiones",1,False,200,160,110,762,15,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Claymore",1,False,200,160,110,864,15,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite-barreled Arquebus",1,False,200,160,110,1000,17,"MasterpieceSupplyMultiplier#1",51,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
9,"blacksmith",52,"Yellow Crafters' Scrip","Mythrite Halfheart Saw",1,False,280,220,160,511,16,"MasterpieceSupplyMultiplier#1",52,0,"Mythrite Lapidary Hammer",1,False,280,220,160,417,11,"MasterpieceSupplyMultiplier#1",52,0,"Mythrite Flametongue",1,False,340,270,190,605,26,"MasterpieceSupplyMultiplier#1",53,0,"Mythrite Jamadhars",1,False,340,270,190,698,26,"MasterpieceSupplyMultiplier#1",53,0,"Mythrite Zweihander",1,False,340,270,190,792,35,"MasterpieceSupplyMultiplier#1",53,0,"Mythrite-barreled Musketoon",1,False,340,270,190,743,35,"MasterpieceSupplyMultiplier#1",53,0,"Mythrite Pliers",1,False,340,270,190,417,22,"MasterpieceSupplyMultiplier#1",53,0,"Mythrite Scythe",1,False,340,270,190,368,19,"MasterpieceSupplyMultiplier#1",53,0
10,"blacksmith",54,"Yellow Crafters' Scrip","Titanium Axe",1,False,390,300,220,645,32,"MasterpieceSupplyMultiplier#1",54,0,"Titanium Pugiones",1,False,390,300,220,645,32,"MasterpieceSupplyMultiplier#1",54,0,"Hardsilver Saw",1,False,430,340,240,472,31,"MasterpieceSupplyMultiplier#1",55,0,"Titanium Cross-pein Hammer",1,False,430,340,240,385,27,"MasterpieceSupplyMultiplier#1",55,0,"Titanium Ball-pein Hammer",1,False,430,340,240,472,27,"MasterpieceSupplyMultiplier#1",55,0,"Hardsilver Texture Hammer",1,False,430,340,240,385,29,"MasterpieceSupplyMultiplier#1",55,0,"Titanium Creasing Knife",1,False,430,340,240,472,28,"MasterpieceSupplyMultiplier#1",55,0,"Hardsilver Dolabra",1,False,430,340,240,558,33,"MasterpieceSupplyMultiplier#1",55,0
11,"blacksmith",56,"Yellow Crafters' Scrip","Titanium Nugget",1,False,440,340,250,316,5,"MasterpieceSupplyMultiplier#1",56,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
12,"blacksmith",56,"Yellow Crafters' Scrip","Titanium Mortar",1,False,480,370,270,358,24,"MasterpieceSupplyMultiplier#1",56,0,"Titanium Culinary Knife",1,False,480,370,270,358,22,"MasterpieceSupplyMultiplier#1",56,0,"Titanium Sledgehammer",1,False,480,370,270,358,21,"MasterpieceSupplyMultiplier#1",56,0,"Titanium Longsword",1,False,530,410,290,599,50,"MasterpieceSupplyMultiplier#1",57,0,"Titanium Knuckles",1,False,530,410,290,518,42,"MasterpieceSupplyMultiplier#1",57,0,"Titanium Greatsword",1,False,530,410,290,759,51,"MasterpieceSupplyMultiplier#1",57,0,"Titanium-barreled Snaphance",1,False,530,410,290,718,44,"MasterpieceSupplyMultiplier#1",57,0,"Hardsilver Hatchet",1,False,530,410,290,358,24,"MasterpieceSupplyMultiplier#1",57,0
13,"blacksmith",58,"Yellow Crafters' Scrip","Adamantite Broadsword",1,False,580,450,320,559,39,"MasterpieceSupplyMultiplier#1",58,0,"Adamantite Jamadhars",1,False,580,450,320,559,38,"MasterpieceSupplyMultiplier#1",58,0,"Adamantite Bill",1,False,580,450,320,484,39,"MasterpieceSupplyMultiplier#1",58,0,"Adamantite Knives",1,False,580,450,320,559,51,"MasterpieceSupplyMultiplier#1",58,0,"Adamantite Zweihander",1,False,580,450,320,709,61,"MasterpieceSupplyMultiplier#1",58,0,"Adamantite Revolver",1,False,580,450,320,595,48,"MasterpieceSupplyMultiplier#1",58,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
14,"blacksmith",59,"Yellow Crafters' Scrip","Adamantite Claw Hammer",1,False,630,490,350,308,29,"MasterpieceSupplyMultiplier#1",59,0,"Adamantite File",1,False,630,490,350,239,24,"MasterpieceSupplyMultiplier#1",59,0,"Adamantite Pliers",1,False,630,490,350,308,30,"MasterpieceSupplyMultiplier#1",59,0,"Adamantite Awl",1,False,630,490,350,308,33,"MasterpieceSupplyMultiplier#1",59,0,"Adamantite Mortar",1,False,630,490,350,308,34,"MasterpieceSupplyMultiplier#1",59,0,"Adamantite Culinary Knife",1,False,630,490,350,272,25,"MasterpieceSupplyMultiplier#1",59,0,"Adamantite Sledgehammer",1,False,630,490,350,308,39,"MasterpieceSupplyMultiplier#1",59,0,"Adamantite Scythe",1,False,630,490,350,239,20,"MasterpieceSupplyMultiplier#1",59,0
15,"armorer",50,"Yellow Crafters' Scrip","Mythrite Sallet of Fending",1,False,200,160,110,557,8,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Tassets of Maiming",1,False,200,160,110,353,5,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Scutum",1,False,200,160,110,557,11,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Hauberk of Fending",1,False,200,160,110,762,11,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Sabatons of Fending",1,False,200,160,110,557,8,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Hauberk of Maiming",1,False,200,160,110,762,12,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Gauntlets of Maiming",1,False,200,160,110,557,8,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Sabatons of Maiming",1,False,200,160,110,557,8,"MasterpieceSupplyMultiplier#1",51,0
16,"armorer",52,"Yellow Crafters' Scrip","Mythrite Alembic",1,False,280,220,160,417,14,"MasterpieceSupplyMultiplier#1",52,0,"Frypan Caliente",1,False,280,220,160,511,14,"MasterpieceSupplyMultiplier#1",52,0,"Mythrite Bladed Lantern Shield",1,False,340,270,190,698,31,"MasterpieceSupplyMultiplier#1",53,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
17,"armorer",54,"Yellow Crafters' Scrip","Titanium Plate Belt of Fending",1,False,340,270,190,323,15,"MasterpieceSupplyMultiplier#1",53,0,"Titanium Sallet of Maiming",1,False,390,300,220,472,25,"MasterpieceSupplyMultiplier#1",54,0,"Titanium Mask of Scouting",1,False,390,300,220,385,21,"MasterpieceSupplyMultiplier#1",54,0,"Hardsilver Alembic",1,False,390,300,220,472,23,"MasterpieceSupplyMultiplier#1",54,0,"Titanium Frypan",1,False,390,300,220,472,26,"MasterpieceSupplyMultiplier#1",54,0,"Titanium Kite Shield",1,False,430,340,240,645,35,"MasterpieceSupplyMultiplier#1",55,0,"Titanium Sollerets of Fending",1,False,430,340,240,472,28,"MasterpieceSupplyMultiplier#1",55,0,"Titanium Cuirass of Maiming",1,False,430,340,240,558,32,"MasterpieceSupplyMultiplier#1",55,0
18,"armorer",56,"Yellow Crafters' Scrip","Titanium Nugget",1,False,440,340,250,316,5,"MasterpieceSupplyMultiplier#1",56,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
19,"armorer",56,"Yellow Crafters' Scrip","Titanium Tassets of Fending",1,False,480,370,270,358,36,"MasterpieceSupplyMultiplier#1",56,0,"Titanium Vambraces of Maiming",1,False,480,370,270,438,46,"MasterpieceSupplyMultiplier#1",56,0,"Titanium Headgear of Striking",1,False,480,370,270,438,40,"MasterpieceSupplyMultiplier#1",56,0,"Titanium Vambraces of Scouting",1,False,480,370,270,438,46,"MasterpieceSupplyMultiplier#1",56,0,"Titanium Hoplon",1,False,530,410,290,438,38,"MasterpieceSupplyMultiplier#1",57,0,"Titanium Mail of Striking",1,False,530,410,290,599,65,"MasterpieceSupplyMultiplier#1",57,0,"Titanium Alembic",1,False,530,410,290,518,40,"MasterpieceSupplyMultiplier#1",57,0,"Mandragoras Frypan",1,False,530,410,290,438,38,"MasterpieceSupplyMultiplier#1",57,0
20,"armorer",58,"Yellow Crafters' Scrip","Adamantite Helm of Fending",1,False,580,450,320,409,40,"MasterpieceSupplyMultiplier#1",58,0,"Adamantite Gauntlets of Fending",1,False,580,450,320,484,49,"MasterpieceSupplyMultiplier#1",58,0,"Adamantite Tassets of Fending",1,False,580,450,320,334,38,"MasterpieceSupplyMultiplier#1",58,0,"Adamantite Sabatons of Fending",1,False,580,450,320,484,49,"MasterpieceSupplyMultiplier#1",58,0,"Adamantite Helm of Maiming",1,False,580,450,320,409,47,"MasterpieceSupplyMultiplier#1",58,0,"Adamantite Gauntlets of Maiming",1,False,580,450,320,484,51,"MasterpieceSupplyMultiplier#1",58,0,"Adamantite Tassets of Maiming",1,False,580,450,320,334,38,"MasterpieceSupplyMultiplier#1",58,0,"Adamantite Sabatons of Maiming",1,False,580,450,320,484,51,"MasterpieceSupplyMultiplier#1",58,0
21,"armorer",59,"Yellow Crafters' Scrip","Adamantite Scutum",1,False,630,490,350,447,42,"MasterpieceSupplyMultiplier#1",59,0,"Adamantite Armor of Fending",1,False,630,490,350,585,66,"MasterpieceSupplyMultiplier#1",59,0,"Adamantite Chain Hose of Fending",1,False,630,490,350,516,66,"MasterpieceSupplyMultiplier#1",59,0,"Adamantite Armor of Maiming",1,False,630,490,350,585,69,"MasterpieceSupplyMultiplier#1",59,0,"Adamantite Chain Hose of Maiming",1,False,630,490,350,516,66,"MasterpieceSupplyMultiplier#1",59,0,"Adamantite Circlet of Fending",1,False,630,490,350,377,41,"MasterpieceSupplyMultiplier#1",59,0,"Adamantite Plate Belt of Fending",1,False,630,490,350,308,31,"MasterpieceSupplyMultiplier#1",59,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
22,"goldsmith",50,"Yellow Crafters' Scrip","Agate Ring of Fending",1,False,200,160,110,250,2,"MasterpieceSupplyMultiplier#1",51,0,"Agate Ring of Aiming",1,False,200,160,110,250,2,"MasterpieceSupplyMultiplier#1",51,0,"Agate Ring of Healing",1,False,200,160,110,250,2,"MasterpieceSupplyMultiplier#1",51,0,"Yeti Staff",1,False,200,160,110,557,6,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Circlet of Striking",1,False,200,160,110,353,5,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Bangle of Slaying",1,False,200,160,110,557,7,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Earrings of Casting",1,False,200,160,110,455,5,"MasterpieceSupplyMultiplier#1",51,0,"Mythrite Goggles of Gathering",1,False,200,160,110,557,7,"MasterpieceSupplyMultiplier#1",51,0
23,"goldsmith",52,"Yellow Crafters' Scrip","Mythrite Earblades of Fending",1,False,280,220,160,323,10,"MasterpieceSupplyMultiplier#1",52,0,"Mythrite Bracelet of Healing",1,False,280,220,160,323,14,"MasterpieceSupplyMultiplier#1",52,0,"Mythrite Needle",1,False,280,220,160,417,11,"MasterpieceSupplyMultiplier#1",52,0,"Yeti Fang Earrings",1,False,280,220,160,230,8,"MasterpieceSupplyMultiplier#1",52,0,"Mythrite Planisphere",1,False,340,270,190,792,27,"MasterpieceSupplyMultiplier#1",53,0,"Yeti Fang Ring of Slaying",1,False,340,270,190,181,14,"MasterpieceSupplyMultiplier#1",53,0,"Mythrite Necklace of Aiming",1,False,340,270,190,417,17,"MasterpieceSupplyMultiplier#1",53,0,"Yeti Fang Ring of Casting",1,False,340,270,190,181,14,"MasterpieceSupplyMultiplier#1",53,0
24,"goldsmith",54,"Yellow Crafters' Scrip","Hardsilver Staff",1,False,390,300,220,472,26,"MasterpieceSupplyMultiplier#1",54,0,"Hardsilver Monocle of Healing",1,False,390,300,220,299,18,"MasterpieceSupplyMultiplier#1",54,0,"Mormorion Ring of Slaying",1,False,390,300,220,299,19,"MasterpieceSupplyMultiplier#1",54,0,"Hardsilver Needle",1,False,390,300,220,385,23,"MasterpieceSupplyMultiplier#1",54,0,"Hardsilver Star Globe",1,False,430,340,240,558,30,"MasterpieceSupplyMultiplier#1",55,0,"Hardsilver Earrings of Fending",1,False,430,340,240,472,29,"MasterpieceSupplyMultiplier#1",55,0,"Hardsilver Bangle of Aiming",1,False,430,340,240,645,33,"MasterpieceSupplyMultiplier#1",55,0,"Hardsilver Earrings of Healing",1,False,430,340,240,472,29,"MasterpieceSupplyMultiplier#1",55,0
25,"goldsmith",56,"Yellow Crafters' Scrip","Star Ruby",1,False,460,360,260,235,3,"MasterpieceSupplyMultiplier#1",56,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
26,"goldsmith",56,"Yellow Crafters' Scrip","Opal Ring of Slaying",1,False,480,370,270,277,27,"MasterpieceSupplyMultiplier#1",56,0,"Opal Bracelet of Casting",1,False,480,370,270,518,56,"MasterpieceSupplyMultiplier#1",56,0,"Dragon Fang Needle",1,False,480,370,270,316,19,"MasterpieceSupplyMultiplier#1",56,0,"Dragon Fang Earrings",1,False,480,370,270,197,14,"MasterpieceSupplyMultiplier#1",56,0,"Hardsilver Pole",1,False,530,410,290,438,40,"MasterpieceSupplyMultiplier#1",57,0,"Opal Earrings of Fending",1,False,530,410,290,438,46,"MasterpieceSupplyMultiplier#1",57,0,"Opal Earrings of Aiming",1,False,530,410,290,438,46,"MasterpieceSupplyMultiplier#1",57,0,"Hardsilver Earrings of Gathering",1,False,530,410,290,277,21,"MasterpieceSupplyMultiplier#1",57,0
27,"goldsmith",58,"Yellow Crafters' Scrip","Aurum Regis Bracelet of Fending",1,False,580,450,320,334,30,"MasterpieceSupplyMultiplier#1",58,0,"Aurum Regis Bracelet of Slaying",1,False,580,450,320,334,34,"MasterpieceSupplyMultiplier#1",58,0,"Aurum Regis Earrings of Slaying",1,False,580,450,320,334,47,"MasterpieceSupplyMultiplier#1",58,0,"Aurum Regis Bracelet of Aiming",1,False,580,450,320,334,34,"MasterpieceSupplyMultiplier#1",58,0,"Aurum Regis Earrings of Healing",1,False,580,450,320,334,47,"MasterpieceSupplyMultiplier#1",58,0,"Aurum Regis Bracelet of Casting",1,False,580,450,320,334,33,"MasterpieceSupplyMultiplier#1",58,0,"Aurum Regis Earrings of Casting",1,False,580,450,320,334,47,"MasterpieceSupplyMultiplier#1",58,0,"Goblin Jig",1,False,580,450,320,184,12,"MasterpieceSupplyMultiplier#1",58,0
28,"goldsmith",59,"Yellow Crafters' Scrip","Aurum Regis Longpole",1,False,630,490,350,516,28,"MasterpieceSupplyMultiplier#1",59,0,"Aurum Regis Orrery",1,False,630,490,350,447,43,"MasterpieceSupplyMultiplier#1",59,0,"Griffin Talon Ring of Fending",1,False,630,490,350,203,17,"MasterpieceSupplyMultiplier#1",59,0,"Griffin Talon Ring of Slaying",1,False,630,490,350,203,21,"MasterpieceSupplyMultiplier#1",59,0,"Griffin Talon Ring of Healing",1,False,630,490,350,203,21,"MasterpieceSupplyMultiplier#1",59,0,"Citrine Choker of Fending",1,False,630,490,350,308,24,"MasterpieceSupplyMultiplier#1",59,0,"Citrine Choker of Aiming",1,False,630,490,350,308,27,"MasterpieceSupplyMultiplier#1",59,0,"Citrine Choker of Casting",1,False,630,490,350,308,26,"MasterpieceSupplyMultiplier#1",59,0
29,"leatherworker",50,"Yellow Crafters' Scrip","Archaeoskin Belt of Striking",1,False,200,160,110,353,5,"MasterpieceSupplyMultiplier#1",51,0,"Archaeoskin Shoes of Aiming",1,False,200,160,110,557,7,"MasterpieceSupplyMultiplier#1",51,0,"Archaeoskin Gloves of Healing",1,False,200,160,110,557,9,"MasterpieceSupplyMultiplier#1",51,0,"Archaeoskin Shoes of Casting",1,False,200,160,110,557,7,"MasterpieceSupplyMultiplier#1",51,0,"Archaeoskin Breeches of Fending",1,False,200,160,110,557,11,"MasterpieceSupplyMultiplier#1",51,0,"Archaeoskin Breeches of Maiming",1,False,200,160,110,557,11,"MasterpieceSupplyMultiplier#1",51,0,"Archaeoskin Gloves of Crafting",1,False,200,160,110,455,7,"MasterpieceSupplyMultiplier#1",51,0,"Archaeoskin Gloves of Gathering",1,False,200,160,110,455,7,"MasterpieceSupplyMultiplier#1",51,0
