Index,0:？,1:？,2:？,3:？,4:？,5:？,6:？,7:？,8:？,9:？,10:？,11:？
11,2,1,2,0,0,/magiadefense,,/魔素板守势 代名词<br>/magiadefense<br>将魔素板的属性切换为与当前目标相同的属性利于防御。代名词可省略。<br><br>>>示例<br>/魔素板守势 <目标><br>将魔素板的属性切换为与当前目标相同的属性。,/魔素板守势,,0,0
12,2,1,2,0,0,/magiaauto,,/魔素板自动 子命令<br>/magiaauto<br>修改魔素板的自动调整设定。启用时会在选中目标后自动切换魔素属性。<br>>>子命令<br>{{color|id=506|攻势(atk)}}<br>向利于攻击的属性自动调整。<br>{{color|id=506|守势(def)}}<br>向利于防御的属性自动调整。<br>{{color|id=506|关(off)}}<br>关闭自动调整功能。<br><br>>>示例<br>/魔素板自动 攻势<br>选中敌人时魔素板会自动切换到利于攻击的属性。,/魔素板自动,,0,0
13,1,0,0,0,0,/cwlinkshell1,/cwl1,/跨服贝频道1(/跨1) 发言内容<br>/cwlinkshell1、/cwl1<br>向跨服通讯贝频道1内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。<br>只输入“/跨服贝频道1(/跨1)”可将默认聊天频道变更为跨服通讯贝频道1。<br>>>示例<br><br>/跨1 大家好！<br>在跨服通讯贝频道1中发送消息“大家好！”。<br>/跨1<br>将默认聊天频道变更为跨服通讯贝频道1。,/跨服贝频道1,/跨1,509,0
14,1,0,0,0,0,/cwlinkshell2,/cwl2,/跨服贝频道2(/跨2) 发言内容<br>/cwlinkshell2、/cwl2<br>向跨服通讯贝频道2内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。<br>只输入“/跨服贝频道2(/跨2)”可将默认聊天频道变更为跨服通讯贝频道2。<br>>>示例<br><br>/跨2 大家好！<br>在跨服通讯贝频道2中发送消息“大家好！”。<br>/跨2<br>将默认聊天频道变更为跨服通讯贝频道2。,/跨服贝频道2,/跨2,509,0
15,1,0,0,0,0,/cwlinkshell3,/cwl3,/跨服贝频道3(/跨3) 发言内容<br>/cwlinkshell3、/cwl3<br>向跨服通讯贝频道3内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。<br>只输入“/跨服贝频道3(/跨3)”可将默认聊天频道变更为跨服通讯贝频道3。<br>>>示例<br><br>/跨3 大家好！<br>在跨服通讯贝频道3中发送消息“大家好！”。<br>/跨3<br>将默认聊天频道变更为跨服通讯贝频道3。,/跨服贝频道3,/跨3,509,0
16,1,0,0,0,0,/cwlinkshell4,/cwl4,/跨服贝频道4(/跨4) 发言内容<br>/cwlinkshell4、/cwl4<br>向跨服通讯贝频道4内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。<br>只输入“/跨服贝频道4(/跨4)”可将默认聊天频道变更为跨服通讯贝频道4。<br>>>示例<br><br>/跨4 大家好！<br>在跨服通讯贝频道4中发送消息“大家好！”。<br>/跨4<br>将默认聊天频道变更为跨服通讯贝频道4。,/跨服贝频道4,/跨4,509,0
17,1,0,0,0,0,/cwlinkshell5,/cwl5,/跨服贝频道5(/跨5) 发言内容<br>/cwlinkshell5、/cwl5<br>向跨服通讯贝频道5内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。<br>只输入“/跨服贝频道5(/跨5)”可将默认聊天频道变更为跨服通讯贝频道5。<br>>>示例<br><br>/跨5 大家好！<br>在跨服通讯贝频道5中发送消息“大家好！”。<br>/跨5<br>将默认聊天频道变更为跨服通讯贝频道5。,/跨服贝频道5,/跨5,509,0
18,1,0,0,0,0,/cwlinkshell6,/cwl6,/跨服贝频道6(/跨6) 发言内容<br>/cwlinkshell6、/cwl6<br>向跨服通讯贝频道6内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。<br>只输入“/跨服贝频道6(/跨6)”可将默认聊天频道变更为跨服通讯贝频道6。<br>>>示例<br><br>/跨6 大家好！<br>在跨服通讯贝频道6中发送消息“大家好！”。<br>/跨6<br>将默认聊天频道变更为跨服通讯贝频道6。,/跨服贝频道6,/跨6,509,0
19,1,0,0,0,0,/cwlinkshell7,/cwl7,/跨服贝频道7(/跨7) 发言内容<br>/cwlinkshell7、/cwl7<br>向跨服通讯贝频道7内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。<br>只输入“/跨服贝频道7(/跨7)”可将默认聊天频道变更为跨服通讯贝频道7。<br>>>示例<br><br>/跨7 大家好！<br>在跨服通讯贝频道7中发送消息“大家好！”。<br>/跨7<br>将默认聊天频道变更为跨服通讯贝频道7。,/跨服贝频道7,/跨7,509,0
20,1,0,0,0,0,/cwlinkshell8,/cwl8,/跨服贝频道8(/跨8) 发言内容<br>/cwlinkshell8、/cwl8<br>向跨服通讯贝频道8内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。<br>只输入“/跨服贝频道8(/跨8)”可将默认聊天频道变更为跨服通讯贝频道8。<br>>>示例<br><br>/跨8 大家好！<br>在跨服通讯贝频道8中发送消息“大家好！”。<br>/跨8<br>将默认聊天频道变更为跨服通讯贝频道8。,/跨服贝频道8,/跨8,509,0
21,2,0,0,0,0,/graphicpresets,/gpresets,/图像设置预设 预设组编号<br>/graphicpresets、/gpreset<br>将图像设置切换为预设设置。<br><br>>>预设组编号（1-5）<br>1：标准品质（笔记本电脑）<br>2：标准品质（台式电脑）<br>3：高品质（笔记本电脑）<br>4：高品质（台式电脑）<br>5：最高品质<br><br>示例<br>/图像设置预设 1<br>将图像设置切换为“标准品质（笔记本电脑）”。,/图像设置预设,,481,0
22,1,0,0,0,0,/fellowship,/fs,/同好会<br>/fellowship、/fs<br>打开同好会窗口。,/同好会,,32,0
23,1,0,0,0,0,/fellowshipfinder,/fsfinder,/同好招募<br>/fellowshipfinder、/fsfinder<br>打开同好招募窗口。,/同好招募,,32,0
24,1,0,0,0,0,/collection,/coll,/重要物品<br>/collection、/coll<br>打开重要物品窗口。,/重要物品,,32,0
25,1,0,0,0,0,/newgame+,/ng+,/昔日重现模式<br>/newgame+、/ng+<br>打开昔日重现模式窗口。,/昔日重现模式,,32,0
91,1,0,0,0,0,/pvpteam,/pt,/战队频道(/战) 发言内容<br>/pvpteam、/pt<br>向同一战队内的全体成员发送聊天消息，无论离多远、无论在哪个地区都可以看到。<br>只输入“/战队频道(/战)”可将默认聊天频道变更为战队频道。<br>>>示例<br><br>/战 我来啦！<br>在战队频道中发送消息“我来啦！”。<br>/战<br>将默认聊天频道变更为战队频道。,/战队频道,/战,509,0
92,1,0,0,0,0,/cwlinkshell,/cwl,/跨服贝频道(/跨) 发言内容<br>/cwlinkshell、/cwl<br>向常用跨服通讯贝内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。<br>只输入“/跨服贝频道(/跨)”可将默认聊天频道变更为常用跨服通讯贝频道。<br>>>示例<br><br>/跨 大家好！<br>在常用跨服通讯贝频道中发送消息“大家好！”。<br>/跨<br>将默认聊天频道变更为常用跨服通讯贝频道。,/跨服贝频道,/跨,509,0
101,1,0,0,0,0,/beginner,/b,/新人频道(/新) 发言内容<br>/beginner、/b<br>向参加新人频道的所有玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。<br>只输入“/新人频道(/新)”可将默认聊天频道变更为新人频道。<br>>>示例<br>/新人频道 你好。<br>在新人频道发送“你好。”的聊天消息。<br>/新人频道<br>将默认聊天频道变更为新人频道。,/新人频道,/新,509,0
102,1,0,0,0,0,/say,/s,/说话频道(/说) 发言内容<br>/say、/s<br>让身边小范围内的玩家看到自己的发言。<br>只输入“/说话频道(/说)”可将默认聊天频道变更为说话频道。,/说话频道,/说,511,0
103,1,0,0,0,0,/shout,/sh,/喊话频道(/喊) 发言内容<br>/shout、/sh<br>让当前所在区域的所有玩家看到自己的发言。,/喊话频道,/喊,509,0
104,3,0,0,0,0,/tell,/t,/悄悄话频道(/悄) 玩家名@服务器名 发言内容<br>/tell、/t<br>向和自己属于同一服务器的指定玩家发送聊天消息。<br>跨服务器发送时只能对好友或正在募集队员的队长生效。<br>只输入“/悄悄话频道(/悄) 玩家名@服务器名”可将默认聊天频道变更为对该玩家的悄悄话频道。<br>>>示例<br>/悄 阿鲁玛@萌芽池 你好。<br>对萌芽池服务器的阿鲁玛发送“你好。”的聊天消息。,/悄悄话频道,/悄,509,0
105,1,0,0,0,0,/party,/p,/小队频道(/队) 发言内容<br>/party、/p<br>向同一小队内的全体成员发送聊天消息，无论离多远、是不是在同一地图都可以看到。<br>只输入“/小队频道(/队)”可将默认聊天频道变更为小队频道。,/小队频道,/队,509,0
106,1,0,0,0,0,/linkshell,/l,/通讯贝频道(/讯) 发言内容<br>/linkshell、/l<br>向常用通讯贝内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。<br>只输入“/通讯贝频道(/讯)”可将默认聊天频道变更为常用通讯贝频道。,/通讯贝频道,/讯,509,0
107,1,0,0,0,0,/linkshell1,/l1,/通讯贝频道1(/讯1) 发言内容<br>/linkshell1、/l1<br>向１号通讯贝内的玩家发送聊天信息，无论离多远、无论在哪个地区都可以看到。,/通讯贝频道1,/讯1,509,0
108,1,0,0,0,0,/linkshell2,/l2,/通讯贝频道2(/讯2) 发言内容<br>/linkshell2、/l2<br>向２号通讯贝内的玩家发送聊天信息，无论离多远、无论在哪个地区都可以看到。,/通讯贝频道2,/讯2,509,0
109,1,0,0,0,0,/linkshell3,/l3,/通讯贝频道3(/讯3) 发言内容<br>/linkshell3、/l3<br>向３号通讯贝内的玩家发送聊天信息，无论离多远、无论在哪个地区都可以看到。,/通讯贝频道3,/讯3,509,0
110,1,0,0,0,0,/linkshell4,/l4,/通讯贝频道4(/讯4) 发言内容<br>/linkshell4、/l4<br>向４号通讯贝内的玩家发送聊天信息，无论离多远、无论在哪个地区都可以看到。,/通讯贝频道4,/讯4,509,0
111,1,0,0,0,0,/linkshell5,/l5,/通讯贝频道5(/讯5) 发言内容<br>/linkshell5、/l5<br>向５号通讯贝内的玩家发送聊天信息，无论离多远、无论在哪个地区都可以看到。,/通讯贝频道5,/讯5,509,0
112,1,0,0,0,0,/linkshell6,/l6,/通讯贝频道6(/讯6) 发言内容<br>/linkshell6、/l6<br>向６号通讯贝内的玩家发送聊天信息，无论离多远、无论在哪个地区都可以看到。,/通讯贝频道6,/讯6,509,0
113,1,0,0,0,0,/linkshell7,/l7,/通讯贝频道7(/讯7) 发言内容<br>/linkshell7、/l7<br>向７号通讯贝内的玩家发送聊天信息，无论离多远、无论在哪个地区都可以看到。,/通讯贝频道7,/讯7,509,0
114,1,0,0,0,0,/linkshell8,/l8,/通讯贝频道8(/讯8) 发言内容<br>/linkshell8、/l8<br>向８号通讯贝内的玩家发送聊天信息，无论离多远、无论在哪个地区都可以看到。,/通讯贝频道8,/讯8,509,0
115,1,0,0,0,0,/freecompany,/fc,/部队频道(/部) 发言内容<br>/freecompany、/fc<br>向同一部队内的全体成员发送聊天消息，无论离多远、无论在哪个地区都可以看到。<br>只输入“/部队频道(/部)”可将默认聊天频道变更为部队频道。,/部队频道,/部,509,0
116,1,0,0,0,0,/echo,/e,/默语(/默) 发言内容<br>/echo、/e<br>显示只有自己能看到的发言内容。,/默语,/默,509,0
117,1,0,0,0,0,/yell,/y,/呼喊频道(/呼) 发言内容<br>/yell、/y<br>让身边大范围内的玩家看到自己的发言。<br>只输入“/呼喊频道(/呼)”可将默认聊天频道变更为呼喊频道。,/呼喊频道,/呼,509,0
118,1,0,0,0,0,/reply,/r,/回答(/回) 发言内容<br>/reply、/r<br>向最后一次收到悄悄话的玩家发送聊天消息。,/回答,/回,509,0
119,1,0,0,0,0,/alliance,/a,/团队频道(/团) 发言内容<br>/alliance、/a<br>向同一团队的全体成员发送聊天消息，无论离多远、无论在哪个地区都可以看到。<br>只输入“/团队频道(/团)”可将默认聊天频道变更为团队频道。,/团队频道,/团,509,0
121,1,0,0,0,0,/join,,/参加<br>/join<br>接受组队邀请。,/参加,,4,0
122,1,0,0,0,0,/decline,,/拒绝<br>/decline<br>拒绝组队邀请。,/拒绝,,4,0
123,2,0,0,0,0,/invite,,/邀请 代名词<br>/invite<br>邀请指定玩家加入小队。省略代名词可以把当前所选中的玩家作为对象。,/邀请,,4,0
124,2,0,0,0,0,/kick,,/移除 代名词<br>/kick<br>将指定玩家移除小队。省略代名词可以把当前所选中的玩家作为对象。,/移除,,4,0
125,2,0,0,0,0,/leader,,/队长 代名词<br>/leader<br>将队长转让给指定玩家。省略代名词可以把当前所选中的玩家作为对象。,/队长,,4,0
126,2,0,0,0,0,/leave,,/退队<br>/leave<br>退出小队。,/退队,,4,0
131,2,0,0,0,0,/check,/c,/查看 代名词<br>/check、/c<br>查看指定玩家的情报。省略代名词可以查看当前选中的目标。,/查看,,160,0
132,2,0,0,0,0,/trade,,/交易 代名词<br>/trade<br>向指定玩家申请交易。省略代名词可以向当前选中的目标发起交易申请。,/交易,,32,0
133,2,1,2,0,0,/automove,,/自动前进(/前进) 子命令<br>/automove<br>向当前面对的方向自动前进。<br>>>子命令<br>{{color|id=506|开(on)}}<br>　开启自动前进。<br>{{color|id=506|关(off)}}<br>　关闭自动前进。<br>{{color|id=506|无子命令}}<br>　在开启与关闭之间切换。,/自动前进,/前进,36,0
134,2,0,0,0,0,/follow,,/跟随 代名词<br>/follow<br>自动跟随指定玩家。省略代名词可以跟随当前选中的目标。,/跟随,,36,0
136,2,0,0,0,0,/meldrequest,,/委托镶嵌 代名词<br>/meldrequest<br>向指定玩家发送魔晶石镶嵌委托。省略代名词可以向当前选中的玩家发送魔晶石镶嵌委托。,/委托镶嵌,,32,0
141,1,0,0,0,0,/character,/gear,/角色(/装备)<br>/character、/gear<br>打开角色窗口。,/角色,/装备,32,0
142,1,0,0,0,0,/journal,,/日志<br>/journal<br>打开日志。,/日志,,32,0
143,1,0,0,0,0,/dutyfinder,/dfinder,/任务搜索器(/任务)<br>/dutyfinder、/dfinder<br>打开任务搜索器。,/任务搜索器,/任务,288,0
144,1,0,0,0,0,/armourychest,/armoury,/兵装库(/兵装)<br>/armourychest、/armoury<br>打开兵装库。,/兵装库,/兵装,32,0
145,1,0,0,0,0,/huntinglog,/hlog,/讨伐笔记(/讨伐)<br>/huntinglog、/hlog<br>打开讨伐笔记。,/讨伐笔记,/讨伐,32,0
146,1,0,0,0,0,/craftinglog,/clog,/制作笔记(/制作)<br>/craftinglog、/clog<br>打开制作笔记。,/制作笔记,/制作,0,0
147,1,0,0,0,0,/gatheringlog,/glog,/采集笔记(/采集)<br>/gatheringlog、/glog<br>打开采集笔记。,/采集笔记,/采集,0,0
148,1,0,0,0,0,/fishinglog,/flog,/钓鱼笔记(/钓鱼)<br>/fishinglog、/flog<br>打开钓鱼笔记。,/钓鱼笔记,/钓鱼,32,0
149,1,0,0,0,0,/achievements,,/成就<br>/achievements<br>打开成就列表。,/成就,,32,0
150,3,1,2,0,0,/partycmd,/pcmd,/小队命令(/小队) 子命令<br>/partycmd、/pcmd<br>运行各种组队指令。<br>※跨服组队时仅会打开小队队员窗口以及使用“加入”指令。<br>>>子命令<br>{{color|id=506|加入(add) 代名词}}<br>　邀请指定玩家加入小队。<br>{{color|id=506|接受(accept)}}<br>　接受小队发来的邀请。<br>{{color|id=506|拒绝(deny)}}<br>　拒绝小队发来的邀请。<br>{{color|id=506|队长(leader) 代名词}}<br>　将小队队长转让给指定玩家。<br>{{color|id=506|退队(leave)}}<br>　退出已加入的小队。<br>{{color|id=506|移除(kick) 代名词}}<br>　将指定队员移除出小队。<br>{{color|id=506|解散(breakup)}}<br>　解散小队。<br>{{color|id=506|无子命令}}<br>　打开小队队员窗口。,/小队命令,/小队,32,0
151,3,1,2,0,0,/friendlist,/flist,/好友命令(/好友) 子命令<br>/friendlist、/flist<br>运行各种好友名单相关指令。<br>>>子命令<br>{{color|id=506|加入(add) 代名词}}<br>　向指定玩家发送好友申请。<br>{{color|id=506|接受(accept) 代名词}}<br>　接受指定玩家发来的好友申请。<br>{{color|id=506|拒绝(deny) 代名词}}<br>　拒绝指定玩家发来的好友申请。<br>{{color|id=506|清除(remove) 代名词}}<br>　将指定玩家移出好友名单。<br>{{color|id=506|无子命令}}<br>　打开好友名单。,/好友命令,/好友,128,0
152,3,1,2,0,0,/blacklist,/blist,/黑名单命令(/黑名单) 子命令<br>/blacklist、/blist<br>运行各种黑名单相关指令。<br>>>子命令<br>{{color|id=506|加入(add) 代名词}}<br>　将指定玩家添加到黑名单中。<br>{{color|id=506|清除(remove) 代名词}}<br>　将指定玩家移出黑名单。<br>{{color|id=506|无子命令}}<br>　打开黑名单。,/黑名单命令,/黑名单,0,0
153,20,0,0,0,0,/search,/sea,/搜索命令(/搜索) 条件<br>/search、/sea<br>以指定条件搜索玩家，并将结果显示在玩家搜索窗口中。<br>>>条件(※可以指定多种条件，顺序不限。)<br>【指定玩家姓名】<br>{{color|id=506|名字(name) 玩家名}}<br>　将指定的部分作为玩家的名字进行搜索。<br>【指定在线状态】<br>队长(leader)　离开(away)　忙碌(busy)　任务中(contents)　剧情中(event)　希望组队(lookingforparty)　接受镶嵌魔晶石请求(lookingformeld)　队员招募中(recruit)　新人(beginner)　指导者(mentor)　战斗指导者(pvementor)　制作采集指导者(tradementor)　对战指导者(pvpmentor)　角色扮演中(roleplay)　回归者(returner)<br>【指定职业】<br>剑术师(GLA)　格斗家(PGL)　斧术师(MRD)　枪术师(LNC)　弓箭手(ARC)　幻术师(CNJ)　双剑师(ROG)　咒术师(THM)　秘术师(ACN)　刻木匠(CRP)　锻铁匠(BSM)　铸甲匠(ARM)　雕金匠(GSM)　制革匠(LTW)　裁衣匠(WVR)　炼金术士(ALC)　烹调师(CUL)　采矿工(MIN)　园艺工(BTN)　捕鱼人(FSH)　骑士(PLD)　武僧(MNK)　战士(WAR)　龙骑士(DRG)　吟游诗人(BRD)　忍者(NIN)　白魔法师(WHM)　黑魔法师(BLM)　召唤师(SMN)　学者(SCH)　暗黑骑士(DRK)　占星术士(AST)　机工士(MCH)　武士(SAM)　赤魔法师(RDM)　青魔法师(BLU)　绝枪战士(GNB)　舞者(DNC)<br>　※省略该条件会默认为以所有职业为对象进行搜索。<br>【指定等级】<br>{{color|id=506|数字}}<br>　以指定数字等级作为条件进行搜索。<br>{{color|id=506|数字-数字}}<br>　将两个数字以半角横线进行连接，会以两个数字之间的等级范围内进行搜索。<br>　※省略该条件会默认以全等级为范围进行搜索。<br>【指定所属军队】<br>黑涡团(Maelstrom)　双蛇党(Order of the Twin Adder)　恒辉队(Immortal Flames)<br>　※指令中使用英文名字时需要用半角双引号将带有空格的军队名引用起来。<br>【指定地点】<br>全世界(world)　利姆萨·罗敏萨(Limsa Lominsa)　格里达尼亚(Gridania)　乌尔达哈(Ul‘dah)　伊修加德(Ishgard)　拉诺西亚(La Noscea)　黑衣森林(The Black Shroud)　萨纳兰(Thanalan)　库尔札斯(Coerthas)　摩杜纳(Mor Dhona)　阿巴拉提亚(Abalathia)　龙堡(Dravania)　基拉巴尼亚(Gyr Abania)　奥萨德(Othard)　诺弗兰特(Norvrandt)<br>　※省略该条件会默认为以全世界为对象进行搜索，使用英文名字时需要用半角双引号将带有空格的地名引用起来。<br>>>示例<br>/搜索命令 剑术师 20-30 拉诺西亚<br>搜索当前位于拉诺西亚，剑术师等级在20～30范围内的玩家。,/搜索命令,/搜索,0,0
154,1,0,0,0,0,/map,,/地图<br>/map<br>打开地图窗口。,/地图,,104,0
155,1,0,0,0,0,/teleport,,/传送<br>/teleport<br>打开传送窗口。,/传送,,0,0
156,3,1,2,0,0,/marking,/mk,/标记 标记种类 代名词<br>/marking、/mk<br>给指定的玩家加上指定的标记。省略玩家名可以将标记加到当前选中的目标上。<br>>>标记种类<br>{{color|id=506|攻击(attack)}}或{{color|id=506|攻击1～5(attack1～5)}}<br>　设置攻击1～5的标记。不指定数值则会标记当前未使用的最小数值攻击标记。<br>{{color|id=506|止步(bind)}}或{{color|id=506|止步1～3(bind1～3)}}<br>　设置止步1～3的标记。不指定数值则会标记当前未使用的最小数值止步标记。<br>{{color|id=506|禁止(stop)}}或{{color|id=506|禁止1～2(stop1～2)}}<br>　设置禁止1～2的标记。不指定数值则会标记当前未使用的最小数值禁止标记。<br>{{color|id=506|方块(square)}}<br>　设置泛用方块标志。<br>{{color|id=506|圆圈(circle)}}<br>　设置泛用圆圈标志。<br>{{color|id=506|十字(cross)}}<br>　设置泛用十字标志。<br>{{color|id=506|三角(triangle)}}<br>　设置泛用三角标志。<br>{{color|id=506|撤除(clear)或关(off)}}<br>　解除标志。<br>{{color|id=506|无子命令}}<br>　打开目标标记窗口。<br>>>示例<br>/标记 攻击3 <目标> <br>给目标加上“攻击3”的标记。,/标记,,32,0
157,1,0,0,0,0,/actionlist,/alist,/技能菜单<br>/actionlist、/alist<br>打开技能菜单。,/技能菜单,,32,0
158,1,0,0,0,0,/timers,,/任务情报(/情报)<br>/timers<br>打开任务情报窗口。,/任务情报,/情报,32,0
159,1,0,0,0,0,/recommended,,/推荐任务(/推荐)<br>/recommended<br>打开推荐任务窗口。,/推荐任务,/推荐,32,0
160,2,1,0,0,0,/inventory,/bag,/物品(/背包)<br>/inventory<br>打开物品窗口。,/物品,/背包,32,0
161,3,1,2,0,0,/freecompanycmd,/fccmd,/部队命令(/部队)<br>/freecompanycmd、/fccmd<br>打开部队窗口。,/部队命令,/部队,0,0
162,4,2,0,2,0,/linkshellcmd,/lcmd,/通讯贝命令(/通讯贝)<br>/linkshellcmd、/lcmd<br>打开通讯贝窗口。,/通讯贝命令,/通讯贝,128,0
163,1,0,0,0,0,/return,,/返回<br>/return<br>实行返回操作。,/返回,,32,0
164,1,0,0,0,0,/emotelist,/elist,/情感动作<br>/emotelist、/elist<br>打开情感动作窗口。,/情感动作,,33,0
165,1,0,0,0,0,/activehelp,,/新手指南(/指南)<br>/activehelp<br>打开新手指南。,/新手指南,/指南,32,0
167,1,0,0,0,0,/characterconfig,/cconfig,/角色设置<br>/characterconfig、/cconfig<br>打开角色设置窗口。,/角色设置,,32,0
168,1,0,0,0,0,/systemconfig,/sconfig,/系统设置<br>/systemconfig、/sconfig<br>打开系统设置窗口。,/系统设置,,32,0
169,1,0,0,0,0,/keybind,/keyconfig,/键位设置<br>/keybind、/keyconfig<br>打开键位设置窗口。,/键位设置,,32,0
170,1,0,0,0,0,/macros,,/用户宏(/宏)<br>/macros<br>打开用户宏窗口。,/用户宏,/宏,32,0
171,2,0,0,0,0,/hudlayout,,/界面设置 子命令<br>/hudlayout<br>进行界面设置相关的操作。<br>>>子命令<br>{{color|id=506|界面编号(1-4)}}<br>　切换为指定编号的界面。<br>{{color|id=506|无子命令}}<br>　打开界面设置窗口。<br><br>>>示例<br>/界面设置 3<br>切换为界面3。,/界面设置,,32,0
172,1,0,0,0,0,/logout,,/标题画面<br>/logout<br>退出游戏，回到标题画面。,/标题画面,,32,0
173,1,0,0,0,0,/shutdown,,/关闭游戏<br>/shutdown<br>退出并结束游戏。,/关闭游戏,,32,0
174,1,0,0,0,0,/partysort,/psort,/小队排序<br>/partysort、/psort<br>将小队列表按一定顺序排列。,/小队排序,,36,0
175,1,0,0,0,0,/readycheck,/rcheck,/准备确认<br>/readycheck、/rcheck<br>发起准备确认。,/准备确认,,32,0
176,1,0,0,0,0,/ready,/rd,/准备完毕<br>/ready、/rd<br>有人发起准备确认时以确认准备完毕进行回应。,/准备完毕,/rd,36,0
177,1,0,0,0,0,/notready,/nr,/没有准备好<br>/notready、/nr<br>有人发起准备确认时以没有准备完毕进行回应。,/没有准备好,/rng,36,0
178,3,1,2,0,0,/waymark,/wmark,/场景标记 子命令 代名词<br>/waymark、/wmark<br>设置场景标记。<br>指定代名词时会在对象脚下设置标记。<br>>>子命令<br>{{color|id=506|标记名(A、B、C、D、1、2)}}<br>　设置标记。已设置的情况下则会撤除，如果指定代名词则会进行覆盖。<br>{{color|id=506|撤除(clear)或关(off)}}<br>　撤除所有设置中的标记。<br>{{color|id=506|省略标记名}}<br>　从A开始顺次设置尚未使用的标记。所有标记都设置完毕的状态下无法使用。指定代名词时无法省略标记名。<br>>>示例<br>/场景标记 A<br>进入用于设置标记A的场景标记模式。<br>/场景标记 A <目标><br>将标记A设置在所选目标的位置。,/场景标记,/wmark,32,0
179,1,0,0,0,0,/fishguide,/fg,/鱼类图鉴<br>/fishguide、/fg<br>打开鱼类图鉴。,/鱼类图鉴,,32,0
180,1,0,0,0,0,/housing,/hou,/房屋<br>/housing、/hou<br>打开房屋窗口。,/房屋,,32,0
181,1,0,0,0,0,/minionguide,,/宠物一览<br>/minionguide<br>打开宠物一览。在萌宠之王的对战中打开萌宠之王列表。,/宠物一览,,48,0
182,1,0,0,0,0,/mountguide,,/坐骑一览<br>/mountlist、/mountguide<br>打开坐骑一览。,/坐骑一览,,32,0
183,1,0,0,0,0,/partyfinder,/pfinder,/队员招募(/招募)<br>/partyfinder、/pfinder<br>打开队员招募窗口。,/队员招募,/招募,0,0
