Index,0:？,1:？,2:？
21,0,“重建伊修加德”是我国上议院与下议院共同承认的公共事业计划。<br>目前我国不问身份与出身，正在以公募的形式招聘人员。<br>我国正请外国来的优秀工匠们进行技术指导以及提供优质上成的制品。<br><br><br>此外天穹街还发行了特殊票据“{{Item|28063|0}}”。重建工程的报酬将以此票据进行支付，此票据可以在天穹街兑换各种各样的物品。<br>具体物品种类请向相关负责人艾妮进行确认。<br><br>除此之外，这边还设置了{{EObj|2010775|0}}，以方便每日造访天穹街的各位工匠确认重建进度。<br>关于目前正在重建的区域以及“联合重建工程”的情报将由相关负责人进行更新，推荐各位工匠能够定期前来确认。<br><br>请工匠们为重建伊修加德尽一份力！,
22,0,开始进行十字镐大街的整备计划！,弗朗塞尔
23,0,开始进行圣罗埃勒广场的整备计划！,弗朗塞尔
24,0,开始进行新巢居住区的整备计划！,弗朗塞尔
25,0,本期的重建工程计划全部完成了！,弗朗塞尔
26,70308,感谢大家每天对重建工作所做出的贡献。<br>我是担任天穹街重建工程总监的弗朗塞尔·德·艾因哈特。<br><br>在上回的整备计划中，由于各位的热情超出了我们的想象，致使没能很好地做出应对，给各位工匠添麻烦了。<br>今后我们会持续对此进行改进，请各位工匠继续协助重建工程。<br><br>本期的预定计划是建设新巢居住区，为在战灾中失去了家的市民们提供住所。<br>为此需要先对十字镐大街以及圣罗埃勒广场进行整备作业。<br>还请大家多多帮忙，拜托大家了。<br><br>弗朗塞尔,
27,70309,我是天穹街重建工程的现场监督奥格伯特。<br>本期首次联合重建工程的目标是清除倒塌在这个广场北边的石塔残骸。<br>请按照以下的顺序进行作业。<br><br>1.将大块瓦砾进行粉碎<br>2.挑选可以搬运的瓦砾碎片<br>3.将瓦砾碎片搬运至堆积处<br><br>以上为工程全部内容，那就拜托了。<br><br>奥格伯特,
28,70310,我是负责检验窗口的弗洛帕桑！<br>接下来的联合重建工程需要继续清除十字镐大街的瓦砾！<br>因为通道狭窄，请注意不要跌落下去！<br>作业顺序也写在这里！<br><br>1.将大块瓦砾进行粉碎<br>2.挑选可以搬运的瓦砾碎片<br>3.将瓦砾碎片搬运至堆积处<br><br>各位大地使者也能参加联合重建工程！<br>在云冠群岛采集资源的闲暇之余，请务必抽空前来参加！<br><br>弗洛帕桑,
29,70311,各位好！我是负责库啵好运道的莉兹贝丝！<br>十字镐大街的重建工作进展得相当顺利呢！<br>接下来的联合重建工程分为两种！<br><br>【清扫作业】<br>1.清扫残留在道路上的细碎瓦砾<br><br>【铺装作业】<br>1.从物资存放处领取资材<br>2.在一次工作区加工土木资材<br>3.对破损处进行铺装<br><br>请各位工匠在作业的空闲之余，务必来挑战一下库啵好运道哦！<br><br>莉兹贝丝,
30,70312,十字镐大街的整备作业终于接近尾声！<br>希望各位工匠能将中央的广场打造成供市民们休憩的场所。<br><br>1.从物资存放处领取资材<br>2.在一次工作区加工资材<br>3.在最终工作区进行建造<br><br>以上为工程全部内容，那就拜托了。<br><br>奥格伯特,
31,70313,多亏了各位工匠的努力，十字镐大街终于竣工了！<br>这条大街将成为重建工程中最为重要的交通运输枢纽。<br>感谢各位的竭力相助！<br><br>接下来预定对圣罗埃勒广场进行整备。<br>不过因为地势起伏太多，请各位一定注意要安全作业。<br>那就拜托各位了。<br><br>弗朗塞尔,
32,70314,多亏了各位工匠，十字镐大街完工了！<br>接下来要在下一段道路上搭建脚手板，方便立足！<br>联合重建工程的内容如下。<br><br>1.从物资存放处领取资材<br>2.在一次工作区加工资材<br>3.在最终工作区进行建造<br><br>奥格伯特,
33,70315,各位工匠们好，我是负责排名窗口的吕多佛兰。<br>我期待着各位能够前来参加在圣罗埃勒广场进行的联合重建工程，清除那里的瓦砾。<br>作业顺序如下。<br><br>1.将大块瓦砾进行粉碎<br>2.挑选可以搬运的瓦砾碎片<br>3.将瓦砾碎片搬运至堆积处<br><br>我会认真记录下各位每日对重建工作做出的所有贡献！<br><br>吕多佛兰,
34,70316,接下来的联合重建工程预定对圣罗埃勒广场进行清扫与铺装作业。<br>请按照以下步骤进行作业。<br><br>【清扫作业】<br>1.清扫残留在道路上的细碎瓦砾<br><br>【铺装作业】<br>1.从物资存放处领取资材<br>2.在一次工作区加工土木资材<br>3.对破损处进行铺装<br><br>以上为工程全部内容，那就拜托了。<br><br>奥格伯特,
35,70317,接下来的联合重建工程将建设水路与圆台！<br>作业顺序如下！<br><br>1.从物资存放处领取资材<br>2.在一次工作区加工资材<br>3.在最终工作区进行建造<br><br>以上为工程全部内容，那就拜托了。<br><br>奥格伯特,
36,70318,圣罗埃勒广场完工了！<br>感谢各位工匠对广场和水路进行了精心地设计。<br>也请大家来这里一边眺望来往的人群，一边尽情地畅谈休憩。<br><br>接下来终于要开始对居住区进行整备了。<br>因为面积广阔，所以作业量也非同小可，还请各位工匠多多帮忙。<br><br>弗朗塞尔,
37,70319,终于要开始着手居住区的工程了！<br>请按照以下顺序参加联合重建工程清除瓦砾！<br><br>1.将大块瓦砾进行粉碎<br>2.挑选可以搬运的瓦砾碎片<br>3.将瓦砾碎片搬运至堆积处<br><br>虽然面积广阔，作业很辛苦，但还请努力一下吧。<br><br>奥格伯特,
38,70320,感谢各位平日里大量的交纳资材！<br>多亏了各位，联合重建工程计划目前正在顺利进行中。<br>请各位像上回一样继续协助清除瓦砾！<br><br>1.将大块瓦砾进行粉碎<br>2.挑选可以搬运的瓦砾碎片<br>3.将瓦砾碎片搬运至堆积处<br><br>以上为此次工程的内容，拜托各位了！<br><br>波特金,
39,70321,多亏了各位工匠，新巢居住区的瓦砾清除作业即将完成！<br>请继续协助以下的联合重建工程！<br><br>1.将大块瓦砾进行粉碎<br>2.挑选可以搬运的瓦砾碎片<br>3.将瓦砾碎片搬运至堆积处<br><br><br>也请各位务必抽空来玩玩库啵好运道！<br><br>莉兹贝丝,
40,70322,多亏了各位工匠，本期的瓦砾清除作业完成了！<br>接下来的联合重建工程是对新巢居住区整体进行清扫和铺装。<br>因为面积广阔需要分头进行作业。<br><br>【清扫作业】<br>1.清扫残留在道路上的细碎瓦砾<br><br>【铺装作业】<br>1.从物资存放处领取资材<br>2.在一次工作区加工土木资材<br>3.对破损处进行铺装<br><br>以上为工程全部内容，那就拜托了。<br><br>奥格伯特,
41,70323,终于到了建设住房的阶段！<br>这也是工匠们不断交纳资材的成果！<br>接下来拜托各位工匠按照以下顺序进行联合重建工程。<br><br>1.从物资存放处领取资材<br>2.在一次工作区加工资材<br>3.在最终工作区进行建造<br><br>为了不让居民们挨冻，我们得为他们提供一个温暖的家才行啊。<br><br>奥格伯特,
42,70324,看到新的房屋不断地建设起来，真是感到很欣慰。<br>就趁着这个势头建设下去吧！<br>作业内容与上回相同。<br><br>1.从物资存放处领取资材<br>2.在一次工作区加工资材<br>3.在最终工作区进行建造<br><br>如果攒够了天穹街振兴票，就来找我兑换吧。<br><br>艾妮,
43,70325,还剩下3套住房尚未建设！<br>这是本期最后的联合重建工程！<br><br>1.从物资存放处领取资材<br>2.在一次工作区加工资材<br>3.在最终工作区进行建造<br><br>以上为工程全部内容，那就拜托了。<br><br>奥格伯特,
44,70326,多亏了各位工匠们的努力，<br>新巢居住区的全整备计划终于完工了！<br>这样一来就能为云雾街受冻的市民们<br>提供温暖的房子了！<br>实在是非常感谢各位！<br>在下次重建工程计划立案之前，<br>请各位继续协助进行物资的筹备工作。<br><br>也请各位工匠今后继续协助重建工程！<br><br>弗朗塞尔,
45,0,“库啵好运道”是与交纳物资联动的重建抽奖活动。<br><br>将库啵好运道指定的委托品交纳给波特金后，将会获得印章。<br>攒齐5个印章后就能进行1次抽奖。<br><br>抽奖卡分为左侧1格，右侧3格，可以选择刮开其中一格。<br>左侧格子中可以刮出2等到4等奖，<br>右侧格子中可以刮出1等到5等奖。<br><br>奖品的内容每次都会发生变化，<br>详细内容请确认奖品表。<br>说不定还有只能通过抽奖才可以获得的奖品哦？！<br><br>对此有兴趣的人，请找库啵好运道窗口的莉兹贝丝了解详情！,
46,0,此次，含有丰富资源的“云冠群岛”<br>被指定成为了伊修加德重建工程的公共资源采集地。<br><br>为此特地向优秀的采集家们介绍“云冠群岛”的详情。<br>请充分运用特殊的机工工具“以太钻孔机”，<br>采集更多的资材！<br><br>由于要做好品质管理，<br>因此从云冠群岛采集回来的资材需要进行检验。<br>采集回来后请先前往弗洛帕桑处进行检验。<br>检验后会收到{{Item|28063|0}}作为谢礼。<br><br>详情请去咨询云海探索窗口的奥瓦埃尔。,
47,0,,
48,0,,
49,0,,
50,0,,
51,0,,
52,0,,
53,0,,
54,0,,
55,0,,
56,0,,
57,0,,
58,0,,
59,0,,
60,0,,
61,0,,
62,0,,
63,0,,
64,0,,
65,0,,
