Index,0:？,1:？,2:？,3:？,4:？,5:？,6:？,7:？,8:？,9:？,10:？,11:？,12:？,13:？,14:？,15:？
27,鲜艳2,16,0.0,0.6000000238418579,True,0.0,0.0,0.20000000298023224,-0.6000000238418579,0.4000000059604645,0.800000011920929,0.6000000238418579,0.4000000059604645,0.10000000149011612,0.20000000298023224,0.6000000238418579
28,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,彩色水笔1,40,0.0,0.0,True,-0.20000000298023224,0.6000000238418579,0.20000000298023224,-0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645
30,黑白铅笔,35,0.0,0.0,False,0.0,0.0,1.0,-0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,0.699999988079071
31,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,强调特效,70,0.0,0.0,True,-0.20000000298023224,-0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5
35,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,单色1,55,0.0,-1.0,True,0.0,0.20000000298023224,0.0,0.0,0.20000000298023224,0.8999999761581421,0.10000000149011612,0.5,0.0,0.10000000149011612,0.8999999761581421
39,单色2,56,0.0,-1.0,False,0.0,0.10000000149011612,0.0,-0.20000000298023224,0.20000000298023224,0.10000000149011612,0.4000000059604645,0.10000000149011612,0.0,0.10000000149011612,0.8999999761581421
40,单色3,57,0.0,-1.0,False,0.0,0.10000000149011612,-0.20000000298023224,0.0,0.30000001192092896,0.10000000149011612,0.4000000059604645,1.0,0.0,0.10000000149011612,0.8999999761581421
41,鲜艳4,18,0.0,0.6000000238418579,True,0.0,0.0,0.20000000298023224,-0.6000000238418579,0.4000000059604645,0.699999988079071,0.6000000238418579,0.5,0.0,0.0,0.800000011920929
42,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,色粉画3,52,0.0,0.0,False,0.10000000149011612,-0.30000001192092896,-0.20000000298023224,0.20000000298023224,-0.20000000298023224,0.699999988079071,0.699999988079071,0.699999988079071,-0.20000000298023224,0.10000000149011612,0.4000000059604645
46,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,彩色水笔2,42,0.0,-0.20000000298023224,True,-0.20000000298023224,0.4000000059604645,0.4000000059604645,-0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.3499999940395355
48,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
