Index,0:？,1:？,2:？,3:？,4:？,5:？,6:？
27,1,0,150131,0,<br>发动{{color|id=506|返回}}魔法可以马上回到{{color|id=506|返回点}}。<br><br>在快捷指令的{{color|id=506|地图&移动}}分类中也有{{color|id=506|返回}}的按钮，可以很方便地咏唱魔法。<br><br>{{color|id=500|※此魔法使用一次之后要等待地球时间15分钟才能再次使用。}},,
28,1,0,150133,0,<br>每颗以太之光都可以进行{{color|id=506|返回点}}设置，不过每次只能设置在一个地方，无法设置多个返回点，所以推荐设置在来往频率最高的地区。<br><br>选中以太之光后按下{{color|id=506|确认键}}打开菜单可以进行返回点的设置。,,
29,0,0,0,0,,,
30,1,1,150041,0,<br>在执行任务的过程中，地图上会显示出该任务的目的地。<br><br>点击快捷指令{{color|id=506|地图&移动}}分类中的{{color|id=506|地图}}按钮，或者按下键盘上的{{color|id=506|M键}}，都可以打开地图窗口进行确认。,,
31,1,1,150042,0,<br>点击目的列表中的{{color|id=506|当前目的}}也可以打开地图窗口，同时会直观地显示出接下来的目标区域。<br><br>只要按照地图上的指示前进，就不用担心在任务途中迷失方向了。,,
32,1,1,150041,0,<br>在执行任务的过程中，地图上会显示出该任务的目的地。<br><br>选择快捷指令{{color|id=506|地图&移动}}分类中的地图{{color|id=506|按钮}}键可以打开地图窗口进行确认。,,
33,1,1,150042,0,<br>选择目的列表中的{{color|id=506|当前目的}}也可以打开地图窗口，同时会直观地显示出接下来的目标区域。<br><br>只要按照地图上的指示前进，就不用担心在任务途中迷失方向了。,,
34,0,0,0,0,,,
35,1,0,150181,0,<br>在快捷指令中点击{{color|id=506|角色}}按钮或者按下键盘上的{{color|id=506|C键}}可以打开{{color|id=506|角色画面}}。<br><br>{{color|id=506|角色画面}}中可以查看当前的装备情况。,,
36,1,0,150182,0,<br>{{color|id=506|角色画面}}中还可以更换玩家自身的装备。<br><br>选中装备栏的特定部位会打开{{color|id=506|兵装库}}的窗口，每种装备都单独分为一类，只需切换部位便可快速进行装备的更换。,,
37,1,0,150181,0,<br>在快捷指令中选择{{color|id=506|角色}}可以打开{{color|id=506|角色画面}}。<br><br>{{color|id=506|角色画面}}中可以查看当前的装备情况。,,
38,0,0,0,0,,,
39,0,0,0,0,,,
40,1,0,150221,0,<br>与城内的{{color|id=506|邮差莫古力}}对话，或者查看自己住宅庭院中的{{color|id=506|莫古信箱}}，都可以开启{{color|id=506|莫古力速递}}的服务。<br><br>利用莫古力速递，可以方便快捷地向登录到好友名单中的朋友发送邮件。,,
41,1,0,150222,0,<br>点击莫古力速递窗口右上的{{color|id=506|写新邮件}}按钮，可以打开{{color|id=506|编写新邮件}}的窗口并写入邮件内容。<br><br>{{color|id=506|道具}}及{{color|id=506|金币}}等物品也可以以附件的形式随文本一起发送给对方。,,
42,1,0,150222,0,<br>选择莫古力速递窗口右上的{{color|id=506|写新邮件}}按钮，可以打开{{color|id=506|编写新邮件}}的窗口并写入邮件内容。<br><br>{{color|id=506|道具}}及{{color|id=506|金币}}等物品也可以以附件的形式随文本一起发送给对方。,,
43,0,0,0,0,,,
44,0,0,0,0,,,
45,1,0,150191,0,<br>与{{color|id=506|城内以太之晶}}进行共鸣后可以使用{{color|id=506|都市传送网}}的功能。<br><br>通过都市传送网，可以在城内的以太之晶之间自由来往。,,
46,0,0,0,0,,,
47,0,0,0,0,,,
48,0,0,0,0,,,
49,0,0,0,0,,,
50,1,0,150151,0,<br>通过与城市之外的以太之光进行共鸣，可以学会{{color|id=506|传送}}这一魔法。<br><br>在快捷指令的{{color|id=506|地图&移动}}分类中选择{{color|id=506|传送}}，可以瞬间前往任何一个已经共鸣过的以太之光所在地。,,
51,1,0,150152,0,<br>进行传送时会消耗相应的{{color|id=506|金币}}。<br><br>具体消耗情况则随每个地点而有所不同。,,
52,1,0,150153,0,<br>以太之光可以添加到{{color|id=506|收藏夹}}中，收藏之后，传送到该地点时所需要的金币会减少。<br><br>收藏夹中最多可以保存三处以太之光。<br><br>将平时使用较多的以太之光收藏起来会比较方便。,,
53,0,0,0,0,,,
54,0,0,0,0,,,
55,0,0,0,0,,,
56,0,0,0,0,,,
57,0,0,0,0,,,
58,0,0,0,0,,,
59,0,0,0,0,,,
60,1,1,150031,0,<br>接受任务之后，可以在{{color|id=506|目的列表}}中查看当前的任务进行状况。<br><br>列表中最多可以显示5个任务，可以很直观地看到接下来的任务要求。,,
61,1,1,150032,0,<br>点击目的列表中显示的{{color|id=506|任务标题}}可以快速打开该任务的{{color|id=506|日志}}窗口。<br><br>任务日志中记录了该任务的任务目的、详细情况以及完成奖励等各种具体信息。,,
62,1,1,150032,0,<br>选择目的列表中显示的{{color|id=506|任务标题}}可以快速打开该任务的{{color|id=506|日志}}窗口。<br><br>任务日志中记录了该任务的任务目的、详细情况以及完成奖励等各种具体信息。,,
63,0,0,0,0,,,
64,0,0,0,0,,,
65,1,1,150051,0,<br>在执行部分任务时，会遇到需要使用{{color|id=506|任务道具}}的情况。<br><br>右键点击任务目标会打开任务道具窗口，之后再用右键点击道具并选择{{color|id=506|使用}}即可发动效果。,,
66,1,1,150051,0,<br>在执行部分任务时，会遇到需要使用{{color|id=506|任务道具}}的情况。<br><br>选中任务目标会打开任务道具窗口，之后对相应道具打开次级指令菜单并选择{{color|id=506|使用}}即可发动效果。,,
67,0,0,0,0,,,
68,0,0,0,0,,,
69,0,0,0,0,,,
70,1,1,150061,0,<br>在执行部分任务时，会遇到需要对{{color|id=506|场景物体}}进行操作的情况。<br><br>右键单击场景物体便可以继续推进任务。,,
71,1,1,150061,0,<br>在执行部分任务时，会遇到需要对{{color|id=506|场景物体}}进行操作的情况。<br><br>选择场景物体便可以继续推进任务。,,
72,0,0,0,0,,,
73,0,0,0,0,,,
74,0,0,0,0,,,
75,0,0,0,0,,,
76,0,0,0,0,,,
77,0,0,0,0,,,
78,0,0,0,0,,,
79,0,0,0,0,,,
80,1,1,150381,0,<br>利用各种{{color|id=506|情感动作}}能够表现出当前的心情和情绪。<br><br>选中目标角色后，从快捷指令的{{color|id=506|社交}}分类中点击{{color|id=506|情感动作}}可以打开窗口选择想要表达的情感。,,
81,1,1,150382,1,<br>打开情感动作窗口之后会列出很多种表情以及动作，根据时机和场合做出合适的选择会令游戏增添很多乐趣。<br><br>现在就来试试吧，请选中{{color|id=506|罗丝温}}，并作出{{color|id=506|下跪}}的动作。,<br>打开情感动作窗口之后会列出很多种表情以及动作，根据时机和场合做出合适的选择会令游戏增添很多乐趣。<br><br>现在就来试试吧，请选中{{color|id=506|奥妮莉}}，并作出{{color|id=506|行礼}}的动作。,<br>打开情感动作窗口之后会列出很多种表情以及动作，根据时机和场合做出合适的选择会令游戏增添很多乐趣。<br><br>现在就来试试吧，请选中{{color|id=506|茱莉安娜}}，并作出{{color|id=506|欢迎}}的动作。
82,1,1,150383,0,<br>情感动作也能够设置到{{color|id=506|热键栏}}里，这样就可以随时方便快捷地表达自己的情绪了。<br><br>{{color|id=500|※另外，道具和宏指令也可以设置到热键栏里。}},,
83,1,1,150382,1,<br>打开情感动作窗口之后会列出很多种表情以及动作，根据时机和场合做出合适的选择会令游戏增添很多乐趣。<br><br>现在就来试试吧，请选中{{color|id=506|罗丝温}}，并作出{{color|id=506|下跪}}的动作。,<br>打开情感动作窗口之后会列出很多种表情以及动作，根据时机和场合做出合适的选择会令游戏增添很多乐趣。<br><br>现在就来试试吧，请选中{{color|id=506|奥妮莉}}，并作出{{color|id=506|行礼}}的动作。,<br>打开情感动作窗口之后会列出很多种表情以及动作，根据时机和场合做出合适的选择会令游戏增添很多乐趣。<br><br>现在就来试试吧，请选中{{color|id=506|茱莉安娜}}，并作出{{color|id=506|欢迎}}的动作。
84,0,0,0,0,,,
85,0,0,0,0,,,
86,0,0,0,0,,,
87,0,0,0,0,,,
88,0,0,0,0,,,
89,0,0,0,0,,,
90,1,0,150161,0,<br>体力变为0时会陷入{{color|id=506|无法战斗}}状态。<br><br>此时无法进行任何操作，只能回到{{color|id=506|返回点}}或任务中的{{color|id=506|开始地点}}重新开始。<br><br>不过如果有其他玩家在场，也可以请其使用幻术的{{color|id=506|复活}}等魔法令自己再次站起来。,,
91,1,0,150162,0,<br>陷入无法战斗状态时，所穿装备的{{color|id=506|耐久度}}会下降。<br><br>耐久度降为0%时，该装备的性能将会完全无法发挥出来。<br><br>{{color|id=500|※不过，9级以下或是处于部分特殊任务中的玩家即使陷入无法战斗状态，也不会减少装备的耐久度。}},,
92,0,0,0,0,,,
93,0,0,0,0,,,
94,0,0,0,0,,,
95,1,0,150411,0,<br>在技能菜单中有一个分类叫做{{color|id=506|额外技能}}。在这个分类中可以查看当前其他大地使者或能工巧匠职业已经学会的技能中，有哪些是现在的职业可以使用的。<br><br>通过快捷指令{{color|id=506|角色}}分类中的{{color|id=506|技能}}按钮可以打开技能菜单窗口。,,
96,1,0,150412,0,<br>额外技能的装备数量受到角色当前职业等级的限制。随着等级的提升，可装备数量也会增加。<br><br>一开始只能够装备一个，10级之后每{{color|id=506|提升5级}}会增加一个，最多可增加到十个。<br><br>在菜单中勾选相应的技能之后，该技能便可以作为额外技能设置到热键栏中。,,
97,1,0,150413,0,选中的{{color|id=506|额外技能}}会在技能菜单的下面显示出来。<br><br>将技能对应的图标{{color|id=506|拖拽}}到热键栏上之后就可以随时使用了。,,
98,1,0,150414,0,<br>选中{{color|id=506|额外技能}}之后会进入到{{color|id=506|设置热键栏}}的模式。<br><br>此时按下对应的按键可以将技能设置到对应的位置上，与发动技能时的操作基本相同。,,
99,0,0,0,0,,,
100,0,0,0,0,,,
101,0,0,0,0,,,
102,0,0,0,0,,,
103,0,0,0,0,,,
104,0,0,0,0,,,
105,1,0,150572,0,<br>退出迷宫有两种方法，既可以通过任务搜索器的{{color|id=506|退出}}按钮离开，也可以从出发地点的入口离开，不过这样一来离开的同时也会退出小队。<br><br>另一种方法是与队友合力一起打倒最深处的强力敌人，之后在现场会出现退出点。利用退出点可以随全队一起退出迷宫。,,
106,1,0,150573,0,<br>在迷宫中有着复数的强力敌人，而且通常都处于特定的房间内。<br><br>在战斗开始的一段时间之后房间会被封锁起来，所以千万要等到队员都集合之后再开始战斗。,,
107,1,0,150574,0,<br>在战斗中被打倒时，可以在原地等待其他玩家的救援，或返回到迷宫的出发点重新出发。<br><br>只要不放弃，在限制时间内可以不断进行挑战，队友之间的配合是非常重要的！,,
108,0,0,0,0,,,
109,0,0,0,0,,,
110,1,0,150111,0,<br>职业是根据当前{{color|id=506|主手}}上的装备决定的。<br><br>更换主手装备便可轻松完成{{color|id=506|转职}}。,,
111,0,0,0,0,,,
112,0,0,0,0,,,
113,0,0,0,0,,,
114,0,0,0,0,,,
115,1,0,150391,0,<br>{{color|id=506|套装}}功能能够将各种装备的搭配分别保存下来。<br><br>转职的时候使用套装功能，可以同时变更全身所有装备。<br><br>只要事先将对应的装备准备好，便可以随时随地瞬间更换装备。,,
116,1,0,150392,0,<br>设置套装配置可以在{{color|id=506|角色}}窗口中进行。<br><br>按下{{color|id=506|＋}}按钮便可以将当前身上穿戴的装备作为套装保存下来。<br><br>利用套装，无论是职业特定的装备还是各种混搭的漂亮装备都可以随时记录下来并瞬间转换完毕。,,
117,0,0,0,0,,,
118,0,0,0,0,,,
119,0,0,0,0,,,
120,1,1,150791,0,<br>进入了特殊的战斗区域。这里将要面临的是在剧情上很重要的战斗和敌人。<br><br>按照画面右侧的{{color|id=506|目的列表}}的内容，全力进行战斗吧！,,
121,1,1,150792,0,<br>在战斗场地上会有一些红色的虚线。这些虚线表示前方无法通行。<br><br>直到完成任务的要求之后，这片特殊区域才会开放。,,
122,0,0,0,0,,,
123,0,0,0,0,,,
124,0,0,0,0,,,
125,1,0,150801,0,<br>{{color|id=506|重要任务}}是指和游戏的故事有关联的关键任务，这类任务的图标会与其他任务有所区别。<br><br>追随关键任务，便可以一直了解到更多主线剧情上的发展。,,
126,1,0,150802,0,<br>而这个样子的图标，则表示是在完成这一系列任务的过程中，会开放新的内容或功能。<br><br>因此看到标有这种图标的任务的话也一起积极地完成吧！,,
127,0,0,0,0,,,
128,0,0,0,0,,,
129,0,0,0,0,,,
130,1,0,150891,0,<br>完成某些特定的职业任务，可以获得相应的{{color|id=506|职业专用技能}}。<br><br>例如，完成枪术师{{color|id=506|15级任务}}之后，可以学会远程战技{{color|id=506|“贯穿尖”}}。<br><br>因此，当等级提升到可以接受职业任务的时候，优先去把这些技能都学会吧。,,
131,0,0,0,0,,,
132,0,0,0,0,,,
133,0,0,0,0,,,
134,0,0,0,0,,,
135,1,0,150201,0,<br>在{{color|id=506|商店}}中可以进行道具的买卖。<br><br>点击商店一侧的道具可以进行购买。<br><br>将自己的物品栏中的道具{{color|id=506|拖拽}}到商店一侧可以卖出所选道具。<br><br>另外，右键单击道具之后选择{{color|id=506|出售}}同样也可以卖出道具。,,
136,1,0,150202,0,<br>卖掉的道具会显示在商店的{{color|id=506|回购物品列表}}中。如果不小心卖错道具了，可以从列表里再次购买回来。<br><br>不过，一旦退出游戏或离开商店所在区域，回购物品列表就会被清空，这点一定要多加留意。,,
137,1,0,150201,0,<br>在{{color|id=506|商店}}中可以进行道具的买卖。<br><br>选中商品列表里的道具可以进行购买。<br><br>选中自己物品栏中的道具则可以出售给商店。,,
138,0,0,0,0,,,
139,0,0,0,0,,,
140,0,0,0,0,,,
141,0,0,0,0,,,
142,0,0,0,0,,,
143,0,0,0,0,,,
144,0,0,0,0,,,
145,0,0,0,0,,,
146,0,0,0,0,,,
147,0,0,0,0,,,
148,0,0,0,0,,,
149,0,0,0,0,,,
150,1,0,150931,0,<br>用{{color|id=506|右键}}点击攻击目标可以发动{{color|id=506|自动攻击}}。<br><br>发动自动攻击时，只要与敌人的距离保持在攻击范围内，就会自动进行攻击。<br><br>同时在目标的头上还会出现相应的{{color|id=506|自动攻击图标}}。,,
151,1,0,150082,0,<br>在画面下方的{{color|id=506|热键栏}}中可以设置各种对战斗有利的相关指令。<br><br>{{color|id=506|单击}}各个技能栏上设置的指令，或者直接按下键盘上对应的{{color|id=506|快捷键}}，便可以发动对应的技能。　　,,
152,1,0,150083,0,<br>发动技能需要消耗相应的{{color|id=506|魔力}}，并且发动之后还需要经过一段时间（{{color|id=506|复唱时间}}）才可以再次发动。<br><br>选中设置好的技能时可以看到该技能的详细效果。,,
153,1,0,150084,0,<br>幻术师和弓箭手都是擅长远距离攻击的职业，与敌人保持距离利用各种技能进行战斗才是上策。,,
154,0,0,0,0,,,
155,0,0,0,0,,,
156,0,0,0,0,,,
157,0,0,0,0,,,
158,0,0,0,0,,,
159,0,0,0,0,,,
160,1,0,151141,0,<br>«最终幻想14»的最大特色之一，便是能够令玩家随时转换职业的{{color|id=506|“兵装系统”}}。<br><br>因此，为了避免出现所持装备过多导致背包的容量紧张的情况发生，每名冒险者都会有{{color|id=506|“兵装库”}}来专门存放各种装备。,,
161,1,0,151142,0,<br>从商店购买商品装备，做任务获得报酬装备，从身上脱下装备，这些装备品都会直接存放到兵装库中，而不会对背包有丝毫影响。<br><br>所以当获得新装备想要查看一下详情时，请打开兵装库而不是背包进行查看。,,
162,1,0,151143,0,<br>在快捷指令的{{color|id=506|角色}}分类中点击{{color|id=506|兵装库}}按钮或者同时按下键盘上的{{color|id=506|Ctrl键}}与{{color|id=506|I键}}可以打开兵装库窗口。<br>,,
163,1,0,151143,0,<br>在快捷指令的{{color|id=506|角色}}分类中选择{{color|id=506|兵装库}}按钮可以打开兵装库窗口。<br>,,
164,0,0,0,0,,,
165,0,0,0,0,,,
166,0,0,0,0,,,
167,0,0,0,0,,,
168,0,0,0,0,,,
169,0,0,0,0,,,
170,1,0,150361,0,<br>进入了{{color|id=506|休息区}}。<br>在休息区中，经验栏下面会出现特殊的图标。<br><br>处于休息区时会随时间积累相应的{{color|id=506|休息奖励}}。此时即使退出游戏，奖励还是会继续积累。,,
171,1,0,150362,0,<br>在积累了休息奖励之后，{{color|id=506|战斗、制作、采集}}中所取得的经验值均会变为{{color|id=506|1.5倍}}。,,
172,1,0,150363,0,<br>积累的休息奖励会在经验栏上以黄色或蓝色的{{color|id=506|奖励槽}}效果表现出来。<br><br>取得的经验值在到达奖励上限之前都会保持提高的效果。,,
173,1,0,150364,0,<br>休息奖励可以在部分{{color|id=506|村落}}和{{color|id=506|城镇}}等休息区获得。<br><br>每次退出游戏时先回到休息区再下线是个良好的习惯。,,
174,0,0,0,0,,,
175,0,0,0,0,,,
176,0,0,0,0,,,
177,0,0,0,0,,,
178,0,0,0,0,,,
179,0,0,0,0,,,
180,1,0,150901,0,<br>和其他玩家组成{{color|id=506|小队}}了！<br><br>组队之后可以进行很多单人无法体会的挑战，例如打倒更强大的敌人，挑战复杂的迷宫等。,,
181,1,0,150903,0,<br>在组队状态下可以使用{{color|id=506|小队频道}}与队友进行交流。频道内的内容只有小队成员可以看见，而且没有距离的限制。<br><br>在对话框的左下角可以切换聊天频道。,,
182,1,0,150902,0,<br>加入小队之后，画面左上会显示出{{color|id=506|小队列表}}。<br><br>通过列表可以直观地确认队员们的情况。另外也可以通过点击列表中的名字来选中队友，这样一来帮助同伴恢复体力时就可以免去很多复杂的操作了。,,
183,1,0,150904,0,<br>另外，加入小队时，还会根据当前队伍成员的职业情况获得{{color|id=506|组队加成}}的效果，能够提升全体队员的各种能力参数。<br><br>{{color|id=500|※只要和队友在同一区域内，组队加成的效果就不会消失。}}<br>{{color|id=500|※从快捷指令“小队”的“小队队员”中可以进行确认。}},,
184,1,0,150905,0,<br>队伍中的每一位成员都是和你一样的冒险者玩家。<br><br>多与他们交流才能体会到艾欧泽亚的更多的魅力。<br><br>所以加入队伍之后首先先打个招呼吧！,,
185,1,0,150902,0,<br>加入小队之后，画面左上会显示出{{color|id=506|小队列表}}。<br><br>通过列表可以直观地确认队员们的情况。另外也可以方向键的上下来选中队友，这样一来帮助同伴恢复体力时就可以免去很多复杂的操作了。,,
186,0,0,0,0,,,
187,0,0,0,0,,,
188,0,0,0,0,,,
189,0,0,0,0,,,
190,1,0,150931,0,<br>在选中敌人的状态下按下确定键可以发动{{color|id=506|自动攻击}}。<br><br>发动自动攻击时，只要与敌人的距离保持在攻击范围内，就会自动进行攻击。<br><br>同时在目标的头上还会出现相应的{{color|id=506|自动攻击图标}}。,,
191,1,0,150932,0,<br>在画面下方的{{color|id=506|十字热键栏}}中可以设置各种对战斗有利的相关指令。,,
192,1,0,150933,0,<br>设置在十字热键中的技能需要通过组合键来发动。<br>按住{{fonticon|14|t=18}}或{{fonticon|15|t=18}}键的同时按下四个方向键或{{fonticon|11|t=18}}{{fonticon|8|t=18}}{{fonticon|9|t=18}}{{fonticon|10|t=18}}可以发动对应位置的技能。<br><br>{{color|id=500|※新学会的技能会自动添加到技能栏中。}},,
193,1,0,150934,0,<br>发动技能需要消耗相应的{{color|id=506|魔力}}，并且发动之后还需要经过一段时间（{{color|id=506|复唱时间}}）才可以再次发动。<br><br>战斗时一定要时刻注意自己当前的魔力，以免出现紧急关头不足的情况。,,
194,0,0,0,0,,,
195,0,0,0,0,,,
196,0,0,0,0,,,
197,0,0,0,0,,,
198,0,0,0,0,,,
199,0,0,0,0,,,
200,1,0,150921,0,<br>某些任务中会出现交易特定道具的要求。此时画面中会显示出{{color|id=506|任务需求}}列表。<br><br>将所需的道具{{color|id=506|拖拽}}到需求栏，之后再点击{{color|id=506|递交}}按钮即可完成任务需求。或者，右键单击道具之后选择{{color|id=506|递交}}也可以起到同样的效果。,,
201,1,0,150922,0,<br>某些任务中会出现交易特定道具的要求。此时画面中会显示出{{color|id=506|任务需求}}列表。<br><br>选中所需的道具，并从次级指令中选择{{color|id=506|递交}}即可完成任务需求。,,
202,0,0,0,0,,,
203,0,0,0,0,,,
204,0,0,0,0,,,
205,0,0,0,0,,,
206,0,0,0,0,,,
207,0,0,0,0,,,
208,0,0,0,0,,,
209,0,0,0,0,,,
210,1,0,150631,0,<br>通过{{color|id=506|玩家搜索}}功能，可以搜索到已经登录到游戏中的玩家，并显示出最多200人的结果。<br><br>搜索结果中会优先显示当前处于同一地点的玩家。,,
211,1,0,150632,0,<br>打开{{color|id=506|玩家搜索条件}}窗口，可以设置搜索目标的各种条件。条件包括姓名、职业、等级、在线状态、所在地以及使用语言。<br><br>选好之后点击{{color|id=506|开始搜索}}按钮，便会将结果显示出来。,,
212,1,0,150633,0,<br>玩家搜索功能可以查看各个玩家的个人信息。而自己的信息可以在{{color|id=506|搜索情报}}中进行编辑。<br><br>通过快捷指令打开{{color|id=506|小队}}项目下的{{color|id=506|小队队员}}窗口，之后用{{color|id=506|鼠标右键}}点击自己的名字，之后选择{{color|id=506|编辑信息}}，即可打开个人信息窗口进行编辑。,,
213,1,0,150634,0,<br>搜索情报中还可以编辑在线状态和个人签名。<br><br>职业和等级虽然会按照当前的职业为准，不过也可以自行编辑{{color|id=506|希望组队}}时的职业，这样在他人搜索时同样也会作为目标对象显示在列表中。,,
214,1,0,150635,0,<br>在线状态为“希望组队”时可以选择多个职业作为搜索对象，单击一次为选中，再单击一次会取消选中状态。<br><br>不过如果在线状态不是“希望组队”，即使选中了多个职业也不会起到任何作用，只会将自己当前的职业作为搜索对象。,,
215,1,0,150633,0,<br>玩家搜索功能可以查看各个玩家的个人信息。而自己的信息可以在{{color|id=506|搜索情报}}中进行编辑。<br><br>通过快捷指令打开{{color|id=506|小队}}项目下的{{color|id=506|小队队员}}窗口，之后选中自己的名字并在{{color|id=506|次级指令}}中选择{{color|id=506|编辑信息}}，即可打开个人信息窗口进行编辑。,,
216,1,0,150635,0,<br>在线状态为“希望组队”时可以选择多个职业作为搜索对象，按一次确认键为选中，再按一次确认键会取消选中状态。<br><br>不过如果在线状态不是“希望组队”，即使选中了多个职业也不会起到任何作用，只会将自己当前的职业作为搜索对象。,,
217,0,0,0,0,,,
218,0,0,0,0,,,
219,0,0,0,0,,,
220,0,0,0,0,,,
221,0,0,0,0,,,
222,0,0,0,0,,,
223,0,0,0,0,,,
224,0,0,0,0,,,
225,0,0,0,0,,,
226,0,0,0,0,,,
227,0,0,0,0,,,
228,0,0,0,0,,,
229,0,0,0,0,,,
230,0,0,0,0,,,
231,0,0,0,0,,,
232,0,0,0,0,,,
233,0,0,0,0,,,
234,0,0,0,0,,,
235,0,0,0,0,,,
236,0,0,0,0,,,
237,0,0,0,0,,,
238,0,0,0,0,,,
239,0,0,0,0,,,
240,1,0,150971,0,<br>{{color|id=506|极限技}}是集结小队全体队员的力量发动的集体必杀技。<br><br>当小队人数达到4人以上时，队员列表的上方的{{color|id=506|极限槽}}会开始进行积蓄。积蓄一定量之后就可以发动极限技了。,,
241,1,0,150972,0,<br>整个小队共享同一个极限槽，在小队进行战斗时，极限槽会随之进行积蓄。<br><br>对濒死的同伴进行治疗，阻止敌人的危险攻击等行为会增加极限槽的积蓄量。,,
242,1,0,150973,0,<br>极限技指令在技能菜单的“共通能力”分类下，设置到热键栏及十字热键栏上便可随时使用。<br><br>技能共有四种效果，分别是：单体攻击、范围攻击、防御、治疗。具体发动哪种类型的技能则由发动者的职业决定。,,
