Index,0:？,1:？,2:？,3:？,4:？,5:？
71,"“<Item:<var:1>:0>”<switch ( <var:2> ) { 的工程有所进展。 , 的工程取得很大进展，合建设备的状态变为“良好”。 , 的工程取得极大进展，合建设备的状态变为“最佳”。 }>",0,14,1,8,15
72,"<switch ( <var:2> ) { 工程有所进展 , 工程取得很大进展 , 工程取得极大进展 }>，<Item:<var:1>:0>制作完成。",0,14,1,8,15
73,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>从部队合建设备中回收了“<Item:<var:1>:0>”。,16,14,0,8,15
74,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>中断了部队合建设备中的制作工程。,16,0,0,8,15
75,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>绘制出了“<CompanyCraftDraft:<var:1>:0>”。,16,0,1,8,15
76,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>将第<var:1>架飞空艇登记为“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”。,16,15,1,9,14
77,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>将第<var:1>架飞空艇的名字更改为“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”。,16,15,1,9,14
78,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>拆解了登记为“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”的第<var:1>架飞空艇。,16,15,1,9,14
79,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>派出了飞空艇“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”去进行探索。,16,15,0,9,14
80,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>中止了飞空艇“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”的探索。,16,15,0,9,14
81,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>接受了“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”探索完成的报告。,16,15,0,9,14
82,飞空艇“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”升为<var:1>级。,16,15,1,9,14
83,通过飞空艇“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”的探索，工房可以登记第<var:1>架飞空艇了。,16,15,1,9,14
84,"<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>消耗<var:1>,点部队战绩换取了<var:3>个“<Item:<var:2>:0>”。",16,22,1,1,0
85,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>提供了<if (<var:3> == 1) {  } else { <var:3>次 }>必需素材“<Item:<var:2>:0>”，贡献了60%以上的该素材以制作“<Item:<var:1>:0>”。,16,22,1,8,15
86,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>发现了“云冠群岛夜晚探索”的航线！,16,0,0,9,14
87,因为长时间没有使用，<PlaceName:<var:1>>第<var:2>区<var:3>号土地已被回收，部分资产由住宅区管理员代为保管。,0,7,0,5,11
88,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>回到了房屋中，自动拆除准备已经取消。,16,0,0,5,11
89,因为资产回收期限已过，从<PlaceName:<var:1>>第<var:2>区<var:3>号土地回收的资产已全部销毁。,0,7,0,5,11
90,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>在花盆中播下了<Item:<var:1>:0>。,16,14,0,6,13
91,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>对花盆里的作物浇了些水。,16,0,0,6,13
92,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>从花盆里的作物中收获了<var:1>个<Item:<var:2>:0>。,16,14,1,6,13
93,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>将花盆里的作物处理掉了。,16,0,0,6,13
94,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>将房屋搬迁到了<PlaceName:<var:1>:0>第<var:2>区<var:3>号土地。,4,7,0,5,11
95,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>将第<var:1>艘潜水艇登记为“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”。,16,15,1,9,14
96,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>将第<var:1>艘潜水艇的名字更改为“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”。,16,15,1,9,14
97,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>拆解了登记为“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”的第<var:1>艘潜水艇。,16,15,1,9,14
98,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>派出了潜水艇“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”去进行探索。,16,15,0,9,14
99,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>中止了潜水艇“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”的探索。,16,15,0,9,14
100,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>接受了“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”探索完成的报告。,16,15,0,9,14
101,潜水艇“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”升为<var:1>级。,16,15,1,9,14
102,通过潜水艇“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”的探索，工房可以登记第<var:1>艘潜水艇了。,16,15,1,9,14
103,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>删除了<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>的留言。,16,23,0,5,11
104,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>修改了交流簿的设置。,16,0,0,5,11
105,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>设定了房屋宣传标签。,16,0,0,5,11
