key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
21,50,"感觉到附近有称霸这一带的大鱼在活动！","大鱼好像消失了……",2,True,"f1f4","","",840,940,400,1,"泥软蟹","圆蚌","骨舌鱼","银鱼","暗斗鱼","争斗琵琶鱼","金鱼","弓鳍鱼","科内利亚","","塔赫托特尔湖",66
22,45,"","",2,False,"l1f1","","",1203,602,400,4,"绿灯球藻","银鱼","火狱蜗牛","淤泥跳鱼","暗斗鱼","北洲鲈","金鱼","环棘鱼","以太虱","","银泪湖北岸",99
23,50,"","",2,True,"l1f1","","",886,833,200,2,"绿灯球藻","银鱼","巨鲈","火狱蜗牛","刀背鱼","暗斗鱼","北洲鲈","金鱼","斑点雀鳝","虚无鲈","早霜顶",102
24,50,"","",2,False,"l1f1","","",670,615,400,4,"骨蝲蛄","斗鱼","银鱼","淤泥跳鱼","暗斗鱼","震雷鱼","北洲鲈","腐鱼","忍斗鱼","","纠缠沼泽林",103
25,45,"","",2,False,"l1f1","","",595,528,200,2,"斗鱼","暗鲈","硬毛蟹","巨鲈","火狱蜗牛","刀背鱼","争斗琵琶鱼","蒙凯恩凯鱼","炼狱火角","","纠缠沼泽林源流",100
26,35,"","",2,False,"r1f1","","",972,1478,400,2,"斑纹虾虎","白妙鲤","虹鳟鱼","樱鳟","巨鲈","绯红鳟","繁星鳟鱼","圣人标","","","库尔札斯河",90
27,50,"","",4,False,"r1f1","","",1633,888,600,4,"云水母","天鱼","破云飞鱼","飞蝠鲼","扬帆鱼","浮云碟","喙嘴龙","马哈尔","秀尼鱼龙","","落魔崖",98
28,40,"","",2,False,"r1f1","","",731,1019,400,2,"斑纹虾虎","阿巴拉提亚公鱼","巨鲈","绯红鳟","石绿湖鳟鱼","北方狗鱼","繁星鳟鱼","煌鱼","星光鳟鱼","","剑峰山麓",92
29,45,"水中出现了深深的黑暗！","水中又重新发出微弱的光芒。",2,True,"r1f1","","",1525,325,400,2,"绿灯球藻","阿巴拉提亚公鱼","巨鲈","绯红鳟","杜父鱼","北方狗鱼","战争神狗鱼","暗星","","","圣人泪",95
30,40,"","",2,False,"r1f1","","",1344,796,400,2,"斑纹虾虎","虹鳟鱼","阿巴拉提亚公鱼","樱鳟","绯红鳟","繁星鳟鱼","黎明少女","","","","巨龙首营地水库",93
31,35,"","",2,False,"r1f1","","",612,1089,300,4,"斑纹虾虎","盲鱼","绿灯球藻","阿巴拉提亚公鱼","黄金鳅","洞穴螯虾","冥河灯","","","","圣人旅道",91
32,40,"","",2,False,"r1f1","","",272,1080,200,4,"绿灯球藻","阿巴拉提亚公鱼","北方狗鱼","繁星鳟鱼","一家之母","","","","","","调查队冰洞",94
33,45,"","",2,False,"r1f1","","",108,1014,400,3,"虹鳟鱼","樱鳟","绯红鳟","山岳神杜父鱼","蓝尸","","","","","","披雪大冰壁",96
34,45,"","",4,False,"r1f1","","",660,620,600,2,"云水母","天鱼","破云飞鱼","飞蝠鲼","扬帆鱼","奇虾","","","","","伊修加德大云海",97
35,1,"","",1,False,"s1t2","","",668,1120,3000,2,"梅尔托尔虾虎","罗敏萨鳀鱼","星里海带","手指虾","海云水母","海港鲱","珊瑚蝶","蓝章鱼","猛犸章鱼","","利姆萨·罗敏萨下层甲板",2
36,1,"","",1,False,"s1t1","","",930,1032,3000,2,"梅尔托尔虾虎","罗敏萨鳀鱼","星里海带","手指虾","海云水母","海港鲱","珊瑚蝶","蓝章鱼","金鳍蝶","","利姆萨·罗敏萨上层甲板",1
37,1,"","",1,False,"s1f1","","",884,1049,600,1,"梅尔托尔虾虎","罗敏萨鳀鱼","手指虾","海云水母","藤皮海参","海港鲱","珊瑚蝶","神仙鱼","蓝章鱼","扎尔艾拉","和风流地沿岸",3
38,5,"","",1,False,"s1f1","","",682,734,600,1,"梅尔托尔虾虎","手指虾","白珊瑚","海云水母","海港鲱","比阿纳可蛤蜊","蓝章鱼","魔梭鱼","银鲨","巨鲨","盛夏滩沿岸",6
39,1,"","",2,False,"s1f1","","",1054,1058,400,3,"蝲蛄","鲢鱼","小鲶鱼","公主鳟","拉诺西亚刺鱼","无赖王","","","","","无赖川",4
40,1,"","",2,False,"s1f1","","",960,850,400,4,"蝲蛄","鲢鱼","小鲶鱼","公主鳟","潜沙鱼","拉诺西亚刺鱼","隐沙鱼","","","","西永恒川",5
41,5,"","",2,False,"s1f1","","",861,693,400,3,"鲢鱼","小鲶鱼","公主鳟","幽暗虾虎","潜沙鱼","白妙鲤","拉诺西亚刺鱼","高刺鱼","","","尼姆河",7
42,15,"","",2,True,"s1f1","","",989,558,200,2,"小鲶鱼","幽暗虾虎","河蟹","拉诺西亚刺鱼","铜鱼","深红蝲蛄","玻璃刺鱼","水晶刺鱼","","","轻声谷",8
43,1,"","",2,False,"s1f2","","",1188,1100,400,2,"蝲蛄","鲢鱼","小鲶鱼","公主鳟","幽暗虾虎","潜沙鱼","白妙鲤","高声鲶鱼","","","遗孀泪",9
44,5,"","",1,False,"s1f2","","",1294,1248,600,3,"梅尔托尔虾虎","星里海带","海云水母","藤皮海参","比阿纳可蛤蜊","莫拉比鲽鱼","石软蟹","蓝章鱼","山神印","","莫拉比湾西岸",10
45,10,"","",1,False,"s1f2","","",1712,850,600,2,"梅尔托尔虾虎","海云水母","海港鲱","莫拉比鲽鱼","石软蟹","虎纹鳕","蓝章鱼","叶海龙","希尔德拉","","雪松原沿岸地",11
46,15,"","",1,False,"s1f2","","",1270,1672,600,3,"海云水母","海港鲱","莫拉比鲽鱼","石软蟹","虎纹鳕","罗斯利特牡蛎","海神刀","蓝章鱼","剪刀手雅克","","莫拉比造船厂",14
47,10,"","",1,False,"s1f2","","",1174,1934,600,3,"藤皮海参","比阿纳可蛤蜊","莫拉比鲽鱼","石软蟹","虎纹鳕","罗斯利特牡蛎","麻希鲯鳅","银君","","","奥修昂火炬",12
48,20,"","",1,True,"s1f2","","",818,1752,600,1,"藤皮海参","石软蟹","钢盔鲎","折刀贝","海毒鲀","海马","黑鳎","精金幼龟","陨石幸存者","","砂盐滩",16
49,10,"","",1,False,"s1f2","","",980,1900,400,1,"罗敏萨鳀鱼","比阿纳可蛤蜊","莫拉比鲽鱼","石软蟹","虎纹鳕","罗斯利特牡蛎","愿贝","剑齿鳕","","","守炬埠头",13
50,15,"","",2,False,"s1f2","","",1049,1699,400,2,"幽暗虾虎","红蝲蛄","仙女鲈","橡果蜗牛","沟鲫鱼","铜鱼","深红蝲蛄","神握鳉","仙后鲈","","空心穴",15
51,25,"","",1,False,"s1f3","","",1595,1672,600,2,"梅尔托尔虾虎","珊瑚蝶","蓝章鱼","蓝珊瑚","海马","比阿纳可鲷鱼","满月沙丁鱼","银鲨","大愿贝","比阿纳可大帝","南鲜血滨",18
52,30,"","",1,False,"s1f3","","",1593,1414,800,4,"神仙鱼","海毒鲀","比阿纳可鲷鱼","苍茫鲱","灰海金枪鱼","满月沙丁鱼","薰衣草印鱼","银鲨","小撒拉奥斯","金枪鲨","太阳海岸",19
53,35,"","",1,False,"s1f3","","",1600,1160,400,1,"海港鲱","魔梭鱼","黑鳎","苍皮海参","灰海金枪鱼","白蝶贝","气泡鱼","红珊瑚","马兹拉雅枪鱼","轰击泡","北鲜血滨",20
54,35,"","",2,True,"s1f3","","",1490,1100,200,2,"红蝲蛄","暗塘鳢","硬毛蟹","斑点鲀","盘丽鱼","地灵鲀","浓盐鲀","","","","隐秘瀑布",23
55,40,"","",2,False,"s1f3","","",959,1247,400,2,"铜鱼","八目鳗","蒙凯恩凯鱼","硬毛蟹","盘丽鱼","王家琵琶鱼","射水鱼","永恒鲤","沉溺射手","","东永恒川",24
56,40,"","",2,False,"s1f3","","",973,1462,400,2,"铜鱼","八目鳗","硬毛蟹","巨鲈","盘丽鱼","王家琵琶鱼","雷纹鱼","射水鱼","永恒鲤","丽舞蟹","接雨草树林",25
57,40,"","",2,False,"s1f3","","",791,1550,400,4,"铜鱼","泥软蟹","八目鳗","神握鳉","银鱼","淤泥跳鱼","吸血八目鳗","银镜鱼","","","接雨草沼泽地",26
58,45,"水中发出了黄金的光辉！","黄金的光辉消失了……",2,True,"s1f3","","",717,1322,200,1,"硬毛蟹","银鱼","小丑鳅","盘丽鱼","刀背鱼","永恒鲤","金鱼","丛林鲶鱼","皇金鱼","","红螳螂瀑布",27
59,10,"","",1,False,"s1f4","","",1641,1542,600,4,"罗敏萨鳀鱼","白珊瑚","海港鲱","莫拉比鲽鱼","石软蟹","虎纹鳕","罗斯利特牡蛎","蓝章鱼","大比目鱼","鳞脚螺","雨燕塔殖民地",28
60,15,"","",1,False,"s1f4","","",1283,1298,600,1,"梅尔托尔虾虎","虎纹鳕","罗斯利特牡蛎","折刀贝","蓝章鱼","梭子鰆","拟鮟鱇","拾荒鮟鱇","","","骷髅谷沿岸地",29
61,35,"","",1,False,"s1f4","","",827,998,600,2,"刀鳍沙丁鱼","蓝珊瑚","锤头鲨","苍皮海参","白蝶贝","薰衣草印鱼","气泡鱼","孤独杀手","","","二分石沿岸地",31
62,40,"","",1,False,"s1f4","","",673,1444,600,2,"梅尔托尔虾虎","海云水母","满月沙丁鱼","薰衣草印鱼","红珊瑚","银鲨","梭子鰆","刺鳗","翻车鱼","翻舵手","幻影群岛北岸",32
63,50,"","",1,True,"s1f4","","",590,1760,200,1,"满月沙丁鱼","红珊瑚","黑蝶贝","鹦鹉螺","隆头鱼","平鱼","海魔鱼","腔棘鱼","空棘鱼","内角石","幻影群岛南岸",35
64,15,"","",1,True,"s1f4","","",1456,1480,200,1,"白珊瑚","海港鲱","钢盔鲎","罗斯利特牡蛎","海神刀","魔梭鱼","基迦章鱼","海神剑","","","酿酒师灯塔",30
65,45,"","",1,False,"s1f4","","",728,1752,400,3,"梅尔托尔虾虎","红珊瑚","梭子鰆","黑蝶贝","刺鳗","隆头鱼","平鱼","巨型乌贼","巨齿鲨","皱鳃鲨","船舶墓场",33
66,20,"","",2,False,"s1f5","","",629,1164,600,2,"河蟹","仙女鲈","翡翠鳗","圆蚌","暖水鳟","四眼鱼","暗鲈","杜父鱼","豹鱼","特拉玛豹鱼","橡树原",37
67,20,"","",2,False,"s1f5","","",402,1004,400,2,"红蝲蛄","河蟹","铜鱼","蓝铃鲑","翡翠鳗","暖水鳟","四眼鱼","暗鲈","龙门鱼","圣鳟贞德","愚者瀑布",38
68,35,"","",2,False,"s1f5","","",1356,1091,600,2,"翡翠鳗","圆蚌","四眼鱼","骨舌鱼","硬毛蟹","银鱼","巨鲈","石绿湖鳟鱼","巨鲶鱼","温泉王","石绿湖东北岸",40
69,25,"","",1,False,"w1f1","","",678,1426,600,1,"罗敏萨鳀鱼","石软蟹","虎纹鳕","罗斯利特牡蛎","锤头鲨","苍茫鲱","哈拉尔黑线鳕","海岩龙虾","肮脏鲱","","白银集市",71
70,15,"","",1,False,"w1f1","","",526,578,600,2,"罗敏萨鳀鱼","海港鲱","石软蟹","虎纹鳕","罗斯利特牡蛎","蓝章鱼","铆钉牡蛎","","","","黄昏湾",69
71,20,"","",1,False,"w1f1","","",728,910,600,1,"罗敏萨鳀鱼","折刀贝","海毒鲀","刀鳍沙丁鱼","钓鮟鱇","斑点鲀","海岩龙虾","断指龙虾","","","月牙湾",70
72,5,"","",2,False,"w1f1","","",1174,1028,400,2,"骨蝲蛄","幽暗虾虎","潜沙鱼","黄铜泥鳅","白妙鲤","铜鱼","深红蝲蛄","铜镜","","","丰饶神井",67
73,10,"","",2,False,"w1f1","","",808,734,600,2,"蝲蛄","弹涂鱼","仙女鲈","泥软蟹","橡果蜗牛","铜鱼","深红蝲蛄","泥巨蟹兵","","","足迹谷",68
74,45,"感觉到附近有正在捕猎的大鱼在活动！","大鱼好像消失了……",1,False,"w1f1","","",446,318,600,4,"梅尔托尔虾虎","哈拉尔黑线鳕","白蝶贝","银鲨","梭子鰆","黑蝶贝","平鱼","海魔鱼","锯鲛","海盗猎人","西风岬",72
75,5,"","",2,False,"w1f2","","",1120,860,400,2,"骨蝲蛄","幽暗虾虎","黄铜泥鳅","白妙鲤","暗鲈","梦幻虾虎","","","","","污流上游",75
76,10,"","",2,False,"w1f2","","",806,1138,400,2,"骨蝲蛄","幽暗虾虎","黄铜泥鳅","白妙鲤","暗鲈","圣盾虾","滑溜帝王","","","","污流下游",76
77,15,"","",2,False,"w1f2","","",1340,914,400,3,"骨蝲蛄","白妙鲤","弹涂鱼","泥软蟹","橡果蜗牛","暗鲈","圣盾虾","暗骑士","","","邪嗣",78
78,15,"","",2,False,"w1f3","","",632,984,400,2,"幽暗虾虎","弹涂鱼","仙女鲈","橡果蜗牛","泥软蟹","净骨蜗牛","净髓蜗牛","","","","枯骨北泉",79
79,15,"","",2,False,"w1f3","","",810,1190,400,2,"幽暗虾虎","弹涂鱼","仙女鲈","橡果蜗牛","泥软蟹","净骨蜗牛","朝圣泥鱼","","","","枯骨南泉",80
80,30,"","",2,False,"w1f3","","",1232,1082,400,2,"暖水鳟","黑鳗","暗鲈","宇格拉姆鲑鱼","硬毛蟹","纳尔札尔鳗鱼","太阳神杖","","","","宇格拉姆河",81
81,5,"","",2,False,"f1t2","","",1553,530,600,2,"蝲蛄","皮皮拉鱼","潜沙鱼","白妙鲤","沟鲫鱼","求雨鱼","圣母鲤","","","","低语河谷",44
82,40,"","",2,False,"w1f3","","",1406,1184,600,4,"宇格拉姆鲑鱼","骨舌鱼","盘丽鱼","火狱蜗牛","王家琵琶鱼","刀背鱼","南方狗鱼","巨蝌蚪","日轮","千年殇","火墙",82
83,25,"","",2,False,"w1f4","","",1036,704,400,3,"铜鱼","暖水鳟","暗鲈","八目鳗","披骨鱼","虚空之眼","","","","","火蜥蜴河",83
84,35,"","",2,False,"w1f4","","",1218,1000,400,2,"沟鲫鱼","泥软蟹","披骨鱼","小丑鳅","盘丽鱼","火狱蜗牛","帕戈尔赞盘丽鱼","铁饼","","","不悔战泉",84
85,35,"","",2,False,"w1f4","","",732,1496,400,4,"铜鱼","暖水鳟","八目鳗","披骨鱼","带鱼","小丑鳅","黄金鳅","铁索","","","遗忘绿洲",85
86,35,"","",3,False,"w1f4","","",568,1750,600,4,"沙鱼","沙鲷鱼","土遁鱼","飞沙鱼","蚁狮蛞蝓","沙丘蝠鲼","撒沟厉钓鮟鱇","魔毯","旋齿鲨","","撒沟厉沙海",86
87,35,"","",3,True,"w1f4","","",1314,1796,600,4,"沙鲷鱼","沙鲶鱼","土遁鱼","飞沙鱼","蚁狮蛞蝓","沙丘蝠鲼","旅沙鳗","沙海肠虫","","","撒沟厉沙丘",87
88,45,"","",2,False,"w1f5","","",986,1128,600,1,"神握鳉","银鱼","火狱蜗牛","淤泥跳鱼","震雷鱼","北洲鲈","金鱼","乌兹刀背鱼","乌兹刀背鱼·天极","","青磷泉",89
89,40,"","",2,False,"w1f5","","",1156,1249,400,3,"骨蝲蛄","银鱼","巨鲈","黄金鳅","火狱蜗牛","刀背鱼","杜父鱼","雀鳝","长吻鳄鳝","汉尼拔","蓝雾涌泉",88
90,5,"","",2,False,"f1t1","","",1160,1361,600,4,"蝲蛄","皮皮拉鱼","潜沙鱼","白妙鲤","沟鲫鱼","求雨鱼","招雨王","","","","翡翠湖滨",42
91,5,"","",2,False,"f1t1","","",972,1065,400,1,"蝲蛄","皮皮拉鱼","潜沙鱼","白妙鲤","沟鲫鱼","酿血鱼","","","","","红茶川水系下游",43
92,35,"","",2,False,"f1f1","","",493,1107,400,2,"弹涂鱼","斗鱼","泥软蟹","蒙凯恩凯鱼","银鱼","血浴","","","","","静语庄园",50
93,45,"","",2,True,"l1f1","","",1406,466,600,2,"泥软蟹","绿灯球藻","骨舌鱼","银鱼","巨鲈","刀背鱼","雀鳝","北洲鲈","血红龙","","歌咏裂谷",101
94,50,"感觉到附近有比加诺还要大的鱼在活动！","大鱼好像消失了……",2,False,"l1f1","","",1498,260,200,2,"绿灯球藻","银鱼","巨鲈","火狱蜗牛","暗斗鱼","北洲鲈","金鱼","庞鱼","加诺","杀手库诺","歌咏裂谷北部",104
95,50,"","",2,True,"w1f1","","",702,269,200,2,"神握鳉","银鱼","火狱蜗牛","淤泥跳鱼","震雷鱼","北洲鲈","吸血八目鳗","吸血鞭","","","帕拉塔安息地",74
96,10,"","",2,False,"w1f2","","",1426,1020,400,4,"骨蝲蛄","幽暗虾虎","黄铜泥鳅","白妙鲤","暗鲈","垂暮蝲蛄","","","","","执掌峡谷",77
97,20,"","",2,False,"s1f2","","",1321,734,200,2,"骨蝲蛄","橡果蜗牛","盲鱼","绿灯球藻","鱼大叔","","","","","","盲铁坑道",17
98,30,"","",2,False,"s1f5","","",1627,1196,600,4,"红蝲蛄","河蟹","仙女鲈","翡翠鳗","圆蚌","尼姆蠕虫","","","","","石绿湖浅滩",39
99,40,"","",2,True,"s1f6","","",744,516,400,2,"巨鲈","火狱蜗牛","雷纹鱼","暖水鳟","石绿湖鳟鱼","大钝甲鱼","吞雷鱼","","","","登天路溪谷",41
100,5,"","",2,False,"f1t2","","",790,700,600,2,"蝲蛄","皮皮拉鱼","潜沙鱼","白妙鲤","沟鲫鱼","倔强鲫鱼","","","","","红茶川水系上游",45
101,45,"","",1,False,"s1f4","","",806,738,600,4,"满月沙丁鱼","白蝶贝","红珊瑚","黑蝶贝","鹦鹉螺","海魔鱼","船长圣杯","","","","萨普沙产卵地",34
102,50,"","",1,False,"s1f4","","",638,608,400,2,"罗敏萨鳀鱼","梅尔托尔虾虎","红珊瑚","梭子鰆","黑蝶贝","海岩龙虾","恐鱼","海巫婆","","","隐秘港",36
103,45,"","",2,False,"w1f1","","",850,303,400,3,"盲鱼","神握鳉","银鱼","暗斗鱼","雀鳝","恩登德奇","","","","","月滴洞",73
104,30,"","",1,False,"s1h1","","",1000,1000,3000,2,"海港鲱","蓝章鱼","海毒鲀","比阿纳可鲷鱼","苍茫鲱","灰海金枪鱼","满月沙丁鱼","鹦鹉螺","抽须王","","海雾村",105
105,30,"","",2,False,"f1h1","","",1000,1000,3000,2,"皮皮拉鱼","暗塘鳢","斗鱼","三色鲤","黑鲶鱼","斑纹琵琶鱼","骨舌鱼","蒙凯恩凯鱼","芳香蝾螈","","薰衣草苗圃",106
106,30,"","",2,False,"w1h1","","",1000,1000,3000,2,"黄铜泥鳅","仙女鲈","铜鱼","深红蝲蛄","暗鲈","八目鳗","银鱼","金鱼","枪鼻头","","高脚孤丘",107
107,50,"","",1,False,"s1f3","","",1830,1090,200,2,"手指虾","海港鲱","海毒鲀","气泡鱼","灰海金枪鱼","红珊瑚","魔梭鱼","马兹拉雅枪鱼","基迦章鱼","海中老人","罗塔诺海（船首）",21
108,50,"感觉到附近有传说级的大鱼在活动！","大鱼好像消失了……",1,True,"s1f3","","",1810,1150,200,4,"梅尔托尔虾虎","海毒鲀","叶海龙","海岩龙虾","梭子鰆","小撒拉奥斯","愿贝","巨齿鲨","巨型乌贼","涅普特龙","罗塔诺海（船尾）",22
109,50,"","",2,False,"r2f1","","",1512,1260,200,2,"阿巴拉提亚公鱼","山峰蟹","山地鲀","鼓钱袋","","","","","","","交汇河",108
110,51,"","",4,False,"r2f1","","",1640,1252,300,4,"白云珊瑚","天虫","冰川核","高风水母","食冰水母","吞冰水母","","","","","灰尾瀑布",109
111,52,"","",2,False,"r2f1","","",1302,802,600,2,"阿巴拉提亚公鱼","碎冰鱼","冰战神","黑巫鱼","白章鱼","库尔札斯海若螺","核爆鱼","","","","库尔札斯不冻池",110
112,60,"闻到了一股老鼠的臭味！","老鼠的臭味消失了……",2,True,"r2f1","","",1698,236,300,1,"阿巴拉提亚公鱼","冰战神","山峰蟹","热破","毛鳞鱼","祭司鱼","清澈冰战神","大祭司鱼","沙里贝涅","","清澈池",111
113,60,"","",2,True,"r2f1","","",366,414,300,4,"魔角蜗牛","樱鳟鱼","温泉医生鱼","温泉胆","龙骨贝","雪人杀手","","","","","龙涎",112
114,53,"","",2,False,"r2f1","","",986,490,300,2,"阿巴拉提亚公鱼","碎冰鱼","冰战神","湖胆","角菊石","显贵樱鳟","利齿蛤蜊","妖祸克拉肯","魔法水桶","尼摩船长","灾祸池南",113
115,52,"","",2,False,"r2f1","","",620,698,300,2,"阿巴拉提亚公鱼","冰战神","利齿蛤蜊","湖胆","基迦石斑鱼","战舰鱼","北境生蚝","拉·雷亚尔","","","灰烬池",114
116,53,"","",2,False,"r2f1","","",582,372,600,2,"利齿蛤蜊","湖胆","冰战神","冰神鱼","求雪鱼","库尔札斯牡蛎","热鳍鱼","冰之巫女","","","灾祸池西",115
117,52,"","",2,False,"d2f1","","",1442,432,400,2,"赤刺","皮皮拉皮拉鱼","蓝螯虾","草鱼","暗影须","龙堡公鱼","河虾","龙鳞撕裂者","","","悲叹飞泉",116
118,52,"","",2,False,"d2f1","","",1406,656,600,2,"赤刺","石蚌","皮皮拉皮拉鱼","三唇鲤","龙堡鲈","蓝螯虾","叉舌鱼","","","","宽慰河",117
119,52,"","",2,False,"d2f1","","",1152,1178,600,2,"赤刺","石蚌","蓝螯虾","三唇鲤","多鳍鱼","图丽鱼","噩梦之种","","","","荒烟野地",118
120,55,"","",2,True,"d2f1","","",1453,240,900,2,"皮皮拉皮拉鱼","蓝螯虾","龙骨鱼","凯门鳄","落雷鳗","琥珀蝾螈","雷鳞蝾螈","","","","饵食台地",119
121,55,"","",6,False,"d2f1","","",576,588,600,2,"熔岩鲎","花岗蟹","鳞匠螺","陨龟","熔岩鲶鱼","巨陨龟","","","","","彻悟岩窟",120
122,56,"","",6,False,"d2f1","","",410,310,300,4,"花岗蟹","火妖小马","岩浆树","鳞匠螺","黑魔法鱼","圣龙泪","","","","","彻悟岩窟西",121
123,57,"","",6,False,"d2f1","","",876,466,200,2,"熔岩鲎","花岗蟹","鳞匠螺","火妖小马","陨龟","岩浆虱","重盾贝","里德尔","","","不洁古像",122
124,60,"感觉到岩浆底部有一股危险的气息！","危险的气息消失了……",6,True,"d2f1","","",316,210,200,2,"花岗蟹","岩浆树","陨龟","化石骨舌鱼","熔岩王","熔岩蜗牛","熔岩帝王","莫名熔岩鱼","","","光轮祭坛",123
125,57,"","",2,False,"d2f2","","",1052,1070,400,2,"蝼蛄","香鱼","学士贝","船虫","秋叶鱼","青蓝之手刺鱼","内陆刺鱼","智慧珊瑚","水瓶王","","沙利亚克河",124
126,58,"","",2,False,"d2f2","","",490,1260,1200,2,"蓝螯虾","牛蛙","蝼蛄","星码龙虾","蝴蝶鱼","虎鱼","沼鯥","龙堡扇贝","蝴蝶夫人","","湍流三角地",125
